abstract,action_reason,authors,best_pdf_url,contexts,last_checked_utc,library_status,metadata_lookup_error,open_access_is_oa,open_access_status,open_access_url,openalex_id,pdf_download_status,pdf_local_path,pdf_sha256,pdf_size_bytes,study_doi,study_title,study_year
,,Alejandra Pulido-Saavedra; Henrique Nunes Pereira Oliva; Tiago Paiva Prudente; Razi Kitaneh; Eric J. Nunes; Colleen Fogg; Melissa Funaro; Jeremy Weleff; Anahita Bassir Nia; Gustavo A. Angarita,https://link.springer.com/content/pdf/10.1007/s00018-024-05519-2.pdf,"[{""compound"": ""Ibogaine"", ""entity"": ""kappa opioid receptor (OPRK1)"", ""study_title"": ""Effects of psychedelics on opioid use disorder: a scoping review of preclinical studies"", ""study_year"": ""2025""}]",2026-02-12T08:07:56.191923+00:00,in_database,,true,gold,https://link.springer.com/content/pdf/10.1007/s00018-024-05519-2.pdf,https://openalex.org/W4406628630,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00018-024-05519-2__2002006375.pdf,d2ac70c0513ab172ad96310c4ba56b806f45b14893c1cd41b66cd51a2334564a,2820714,10.1007/s00018-024-05519-2,Effects of psychedelics on opioid use disorder: a scoping review of preclinical studies,2025
"Abstract Psychoactive substances with chemical structures or pharmacological profiles that are similar to traditional drugs of abuse continue to emerge on the recreational drug market. Internet vendors may at least temporarily sell these so-called designer drugs without adhering to legal statutes or facing legal consequences. Overall, the mechanism of action and adverse effects of designer drugs are similar to traditional drugs of abuse. Stimulants, such as amphetamines and cathinones, primarily interact with monoamine transporters and mostly induce sympathomimetic adverse effects. Agonism at μ-opioid receptors and γ-aminobutyric acid-A (GABA A ) or GABA B receptors mediates the pharmacological effects of sedatives, which may induce cardiorespiratory depression. Dissociative designer drugs primarily act as N -methyl- d -aspartate receptor antagonists and pose similar health risks as the medically approved dissociative anesthetic ketamine. The cannabinoid type 1 (CB 1 ) receptor is thought to drive the psychoactive effects of synthetic cannabinoids, which are associated with a less desirable effect profile and more severe adverse effects compared with cannabis. Serotonergic 5-hydroxytryptamine-2A (5-HT 2A ) receptors mediate alterations of perception and cognition that are induced by serotonergic psychedelics. Because of their novelty, designer drugs may remain undetected by routine drug screening, thus hampering evaluations of adverse effects. Intoxication reports suggest that several designer drugs are used concurrently, posing a high risk for severe adverse effects and even death.",,Dino Luethi; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007/s00204-020-02693-7.pdf,"[{""compound"": ""MDMA"", ""entity"": ""SERT"", ""study_title"": ""Designer drugs: mechanism of action and adverse effects"", ""study_year"": ""2020""}, {""compound"": ""DMT"", ""entity"": ""Sigma-1 receptor (SIGMAR1)"", ""study_title"": ""Designer drugs: mechanism of action and adverse effects"", ""study_year"": ""2020""}]",2026-02-12T08:07:56.545719+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00204-020-02693-7.pdf,https://openalex.org/W3014121938,already_present,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00204-020-02693-7__c488186fc1.pdf,d52be081b4bb6f9fbff8c683acf67bb1b9232412e07107a2f84073404448e37a,1812028,10.1007/s00204-020-02693-7,Designer drugs: mechanism of action and adverse effects,2020
,,Nicole Pinckaers; W. Matthijs Blankesteijn; Anastasiya Mircheva; Ans Punt; Antoon Opperhuizen; Frederik‐Jan van Schooten; Misha F. Vrolijk,https://link.springer.com/content/pdf/10.1007/s00204-025-03992-7.pdf,"[{""compound"": ""DMT"", ""entity"": ""TAAR1"", ""study_title"": ""Quantitative in vitro-to-in vivo extrapolation of human adrenergic and trace amine-associated receptor 1 potencies of pre-workout supplement ingredients using physiologically based kinetic modelling-based reverse dosimetry"", ""study_year"": ""2025""}]",2026-02-12T08:08:00.196222+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00204-025-03992-7.pdf,https://openalex.org/W4409147614,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00204-025-03992-7__504dcac339.pdf,5fae0eb4bd7d7652d6d254320ec16e7d8397c1a514b9781eba706b2aa4430093,2386522,10.1007/s00204-025-03992-7,Quantitative in vitro-to-in vivo extrapolation of human adrenergic and trace amine-associated receptor 1 potencies of pre-workout supplement ingredients using physiologically based kinetic modelling-based reverse dosimetry,2025
"Abstract Central stimulatory and hallucinogenic drugs of abuse like amphetamine and most congeners of amphetamine can have cardiac harmful effects. These cardiac side effects can lead to morbidities and death. In this paper, we review current knowledge on the direct and indirect effects of these amphetamine congeners on the mammalian heart—more specifically, the isolated human heart muscle preparation. In detail, we address the question of whether and how these drugs affect cardiac contractility and their mechanisms of action. Based on this information, further research areas are defined, and further research efforts are proposed.",,Joachim Neumann; Stefan Dhein; Uwe Kirchhefer; Britt Hofmann; Ulrich Gergs,https://link.springer.com/content/pdf/10.1007/s00210-024-02983-2.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""Effects of congeners of amphetamine on the human heart"", ""study_year"": ""2024""}]",2026-02-12T08:08:04.377226+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00210-024-02983-2.pdf,https://openalex.org/W4391723345,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00210-024-02983-2__ef10bcf60e.pdf,3bdbbd64fe162076b47b625bb8b4ec40bbac1669664916ddfe7726ece9180dc0,1439574,10.1007/s00210-024-02983-2,Effects of congeners of amphetamine on the human heart,2024
,,Ronan Depoortère; Andrew C. McCreary; Benjamin Vidal; Mark A. Varney; Luc Zimmer; Adrian Newman‐Tancredi,https://hal.science/hal-04932477/document,"[{""compound"": ""5-MeO-DMT"", ""entity"": ""5-HT1A"", ""study_title"": ""Pharmacodynamic, pharmacokinetic and rat brain receptor occupancy profile of NLX-112, a highly selective 5-HT1A receptor biased agonist"", ""study_year"": ""2024""}]",2026-02-12T08:08:08.015913+00:00,in_database,,true,green,https://hal.science/hal-04932477/document,https://openalex.org/W4401290880,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00210-024-03323-0__22482f059b.pdf,6a18e4a3c0550f2a00bd7cbfc61119859e876839e5a6072fb9159cf612db0248,3305312,10.1007/s00210-024-03323-0,"Pharmacodynamic, pharmacokinetic and rat brain receptor occupancy profile of NLX-112, a highly selective 5-HT1A receptor biased agonist",2024
,,Christopher D. Verrico; Gregory M. Miller; Bertha K. Madras,https://link.springer.com/content/pdf/10.1007/s00213-005-0174-5.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment"", ""study_year"": ""2005""}]",2026-02-12T01:21:20.235040+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-005-0174-5.pdf,https://openalex.org/W2007549333,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-005-0174-5__d0dbb264ff.pdf,cf37761b02a7c46fd348d445c59be1b4e2cf515002f2793c136646df592fc604,803996,10.1007/s00213-005-0174-5,"MDMA (Ecstasy) and human dopamine, norepinephrine, and serotonin transporters: implications for MDMA-induced neurotoxicity and treatment",2005
"MDMA-induced 5-HT depletions are not necessarily synonymous with neurotoxic damage. However, doses of MDMA which do not cause long-term 5-HT depletions can have protracted effects on behavior, suggesting even moderate doses of the drug may pose risks.",,Michael H. Baumann; Xiaoying Wang; Richard B. Rothman,https://link.springer.com/content/pdf/10.1007/s00213-006-0322-6.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""3,4-Methylenedioxymethamphetamine (MDMA) neurotoxicity in rats: a reappraisal of past and present findings"", ""study_year"": ""2006""}]",2026-02-12T01:21:23.872634+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-006-0322-6.pdf,https://openalex.org/W2064576666,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-006-0322-6__566d37ba9c.pdf,141d14a7011b0ce5ebcd0b0842e9860e1ccada1135d750f16e0623c11a1a43db,565128,10.1007/s00213-006-0322-6,"3,4-Methylenedioxymethamphetamine (MDMA) neurotoxicity in rats: a reappraisal of past and present findings",2006
,,Jordi Riba; Sergio Romero; Eva Grasa; Esther Mena; Ignasi Carrió; Manel J. Barbanoj,https://link.springer.com/content/pdf/10.1007/s00213-006-0358-7.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""Increased frontal and paralimbic activation following ayahuasca, the pan-amazonian inebriant"", ""study_year"": ""2006""}]",2026-02-12T01:21:30.211240+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-006-0358-7.pdf,https://openalex.org/W2103583518,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-006-0358-7__266343c38d.pdf,5a8278226cecd7454651074f3f5cabadf9d314687e4c95c4e66c3b7473337493,343188,10.1007/s00213-006-0358-7,"Increased frontal and paralimbic activation following ayahuasca, the pan-amazonian inebriant",2006
,,Neal R. Swerdlow; Martin Weber; Ying Qu; Gregory A. Light; David Braff,https://link.springer.com/content/pdf/10.1007/s00213-008-1072-4.pdf,"[{""compound"": ""5-MeO-DMT"", ""entity"": ""5-HT1A"", ""study_title"": ""Realistic expectations of prepulse inhibition in translational models for schizophrenia research"", ""study_year"": ""2008""}]",2026-02-12T01:21:37.127571+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-008-1072-4.pdf,https://openalex.org/W2062472783,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-008-1072-4__173036bf7c.pdf,286ef607217a8a9fe3ecaf97bcb8c9b5d4c84c98fa57e22a55bc1f22694ebaa8,857444,10.1007/s00213-008-1072-4,Realistic expectations of prepulse inhibition in translational models for schizophrenia research,2008
,,J.C. Winter,https://link.springer.com/content/pdf/10.1007/s00213-008-1356-8.pdf,"[{""compound"": ""Psilocin"", ""entity"": ""5-HT2A"", ""study_title"": ""Hallucinogens as discriminative stimuli in animals: LSD, phenethylamines, and tryptamines"", ""study_year"": ""2008""}]",2026-02-12T01:21:41.693821+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-008-1356-8.pdf,https://openalex.org/W2057298190,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-008-1356-8__ed60a52498.pdf,e6e618a9b2b685ad4c5466c164746c92963dac4998a554a61953f31dddb1d4ff,411510,10.1007/s00213-008-1356-8,"Hallucinogens as discriminative stimuli in animals: LSD, phenethylamines, and tryptamines",2008
