claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,ketamine,posttraumatic stress disorder,PTSD symptoms,outcome_measure,trauma-exposed patients,posttraumatic stress disorder,indication,True,not_reported,symptom reduction,psychiatric symptoms,positive,PTSD symptoms,trauma-exposed patients,clinical,10.1556/2054.2021.00179,,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,Alan K. Davis; Pratheek Mangini; Yitong Xin,2021,Journal of Psychedelic Studies,journal-article,,2021-10-01,2559-9283,2559-9283,Akademiai Kiado Zrt.,,,,,,,,,,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract,retrospective clinical chart review,N = 18,not_reported,sublingual ketamine-assisted body-centered psychotherapy,not_reported,sublingual,six sessions,after six sessions,,,,not_reported,"Patients who completed six sessions of ketamine therapy reported meaningful (e.g., medium effect size) improvements in PTSD symptoms (P 5 0.058; d 5 À0.48)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ketamine,depression,depression,outcome_measure,trauma-exposed patients,depression,indication,True,not_reported,symptom reduction,psychiatric symptoms,positive,depression,trauma-exposed patients,clinical,10.1556/2054.2021.00179,,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,Alan K. Davis; Pratheek Mangini; Yitong Xin,2021,Journal of Psychedelic Studies,journal-article,,2021-10-01,2559-9283,2559-9283,Akademiai Kiado Zrt.,,,,,,,,,,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract,retrospective clinical chart review,N = 18,not_reported,sublingual ketamine-assisted body-centered psychotherapy,not_reported,sublingual,six sessions,after six sessions,,,,not_reported,statistically significant and meaningful improvements in depression (P 5 0.019; d 5 À0.53),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ketamine,global disability in functioning,global disability in functioning,functional_outcome,trauma-exposed patients,global disability in functioning,none,False,"This is a functional outcome, not a specific therapeutic indication/disorder.",functional improvement,functioning,positive,global disability in functioning,trauma-exposed patients,clinical,10.1556/2054.2021.00179,,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,Alan K. Davis; Pratheek Mangini; Yitong Xin,2021,Journal of Psychedelic Studies,journal-article,,2021-10-01,2559-9283,2559-9283,Akademiai Kiado Zrt.,,,,,,,,,,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract,retrospective clinical chart review,N = 18,not_reported,sublingual ketamine-assisted body-centered psychotherapy,not_reported,sublingual,six sessions,after six sessions,,,,not_reported,"meaningful (e.g., medium effect size) improvements in [...] global disability in functioning (P 5 0.050; d 5 À0.52)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ketamine,anxiety,anxiety symptoms,outcome_measure,trauma-exposed patients,anxiety,indication,False,"Null finding, not a positive indication.",symptom change,psychiatric symptoms,null,anxiety symptoms,trauma-exposed patients,clinical,10.1556/2054.2021.00179,,Ketamine-assisted psychotherapy for trauma-exposed patients in an outpatient setting: A clinical chart review study,Alan K. Davis; Pratheek Mangini; Yitong Xin,2021,Journal of Psychedelic Studies,journal-article,,2021-10-01,2559-9283,2559-9283,Akademiai Kiado Zrt.,,,,,,,,,,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract,retrospective clinical chart review,N = 18,not_reported,sublingual ketamine-assisted body-centered psychotherapy,not_reported,sublingual,six sessions,after six sessions,,,,not_reported,There were no improvements in anxiety symptoms.,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ibogaine,alcohol use disorder,reinstatement of ethanol-induced conditioned place preference (CPP) during a drug priming re-exposure test,outcome_measure,ethanol-induced conditioned place preference,alcohol use disorder,indication,True,not_reported,behavioral,addiction/substance use disorder,positive,conditioned place preference (CPP) score (reinstatement),male Swiss mice,preclinical,10.3389/fphar.2021.739012,,Ibogaine Blocks Cue- and Drug-Induced Reinstatement of Conditioned Place Preference to Ethanol in Male Mice,Gabrielle M. Henriques; Alexia Anjos-Santos; Isa R. S. Rodrigues; Victor Nascimento-Rocha; Henrique S. Reis; Matheus Libarino-Santos; Thaísa Barros-Santos; Thais S. Yokoyama; Natalia B. Bertagna; Cristiane A. Favoretto,2021,Frontiers in Pharmacology,journal-article,,2021-09-21,1663-9812,,Frontiers Media SA,,conditioned place preference | ethanol | ibogaine | mice | reinstatement,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract; C010; Figure 4C,experimental animal study,n=8 per group,vehicle (oral administration),"ibogaine (10 or 30 mg/kg, p.o.)",10 mg/kg; 30 mg/kg,oral,"repeated treatment for 8 days, every other day",during a priming injection re-exposure test,,,,no significant effects on total distance traveled,"Treatment with ibogaine after conditioning with ethanol blocked the reinstatement of ethanol-induced CPP, both during a drug priming reinstatement test and during a drug-free test conducted after re-exposure to ethanol in the ethanol-paired compartment. Our findings add to the literature suggesting that psychedelics, in particular ibogaine, may have therapeutic properties for the treatment of alcohol use disorder at doses that do not have rewarding effects per se .",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ibogaine,alcohol use disorder,reinstatement of ethanol-induced conditioned place preference (CPP) during a drug-free test after context-paired re-exposure,outcome_measure,ethanol-induced conditioned place preference,alcohol use disorder,indication,True,not_reported,behavioral,addiction/substance use disorder,positive,conditioned place preference (CPP) score (reinstatement),male Swiss mice,preclinical,10.3389/fphar.2021.739012,,Ibogaine Blocks Cue- and Drug-Induced Reinstatement of Conditioned Place Preference to Ethanol in Male Mice,Gabrielle M. Henriques; Alexia Anjos-Santos; Isa R. S. Rodrigues; Victor Nascimento-Rocha; Henrique S. Reis; Matheus Libarino-Santos; Thaísa Barros-Santos; Thais S. Yokoyama; Natalia B. Bertagna; Cristiane A. Favoretto,2021,Frontiers in Pharmacology,journal-article,,2021-09-21,1663-9812,,Frontiers Media SA,,conditioned place preference | ethanol | ibogaine | mice | reinstatement,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract; C010; Figure 4D,experimental animal study,n=16 per group,vehicle (oral administration),"ibogaine (10 or 30 mg/kg, p.o.)",10 mg/kg; 30 mg/kg,oral,"repeated treatment for 8 days, every other day",24 h after a context-paired re-exposure,,,,no significant effects on total distance traveled,"Treatment with ibogaine after conditioning with ethanol blocked the reinstatement of ethanol-induced CPP, both during a drug priming reinstatement test and during a drug-free test conducted after re-exposure to ethanol in the ethanol-paired compartment. Our findings add to the literature suggesting that psychedelics, in particular ibogaine, may have therapeutic properties for the treatment of alcohol use disorder at doses that do not have rewarding effects per se .",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,ibogaine,not_applicable,conditioned place preference (CPP),safety_or_adverse_event,not_applicable,not_applicable,none,False,Not a therapeutic indication; relates to abuse potential/rewarding effects.,behavioral,abuse potential,null,conditioned place preference (CPP) score,male Swiss mice,preclinical,10.3389/fphar.2021.739012,,Ibogaine Blocks Cue- and Drug-Induced Reinstatement of Conditioned Place Preference to Ethanol in Male Mice,Gabrielle M. Henriques; Alexia Anjos-Santos; Isa R. S. Rodrigues; Victor Nascimento-Rocha; Henrique S. Reis; Matheus Libarino-Santos; Thaísa Barros-Santos; Thais S. Yokoyama; Natalia B. Bertagna; Cristiane A. Favoretto,2021,Frontiers in Pharmacology,journal-article,,2021-09-21,1663-9812,,Frontiers Media SA,,conditioned place preference | ethanol | ibogaine | mice | reinstatement,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,Abstract; C008; Figure 2,experimental animal study,n=8 per group,saline (i.p.),"ibogaine (10 or 30 mg/kg, p.o.)",10 mg/kg; 30 mg/kg,oral,8 consecutive days of conditioning,post-conditioning test,,,,no significant effects on total distance traveled,"Our results show that ethanol, but not ibogaine, induced CPP in mice. Animals conditioned with IBO, on the other hand, did not significantly differ from themselves in the pre-conditioning test or from the SAL group in the post-conditioning test, and showed a lower CPP score compared the EtOH group during the post-conditioning test (IBO10: p 0.0038; IBO30: p 0.0019).",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,Ketamine,Severe pain,clinically significant and sustained pain relief,therapeutic_indication,Emergency Department Patients with Severe Pain,Pain,indication,True,not_applicable,therapeutic_effect,Pain,positive,Numerical Rating Scale (NRS) pain score reduction,Emergency Department Patients with Severe Pain,clinical,10.1111/pme.12705,,Low-Dose Ketamine Infusion for Emergency Department Patients with Severe Pain,Terence L. Ahern; Andrew A. Herring; Steve Miller; Bradley W. Frazee,2015,Pain Medicine,journal-article,not_reported,2015-02-03,1526-2375,1526-4637,Oxford University Press (OUP),"Adult | Aged | Analgesics / therapeutic use | Analgesics, Opioid / administration & dosage | Blood Pressure / drug effects | Dizziness / chemically induced | Dose-Response Relationship, Drug | Emergency Service, Hospital | Fatigue / chemically induced | Female | Headache / chemically induced | Heart Rate / drug effects | Humans | Infusions, Intravenous / methods | Ketamine / administration & dosage | Ketamine / adverse effects | Ketamine / therapeutic use | Male | Middle Aged | Morphine / administration & dosage | Oxygen / metabolism | Pain / drug therapy | Pain Management / adverse effects | Pain Management / methods | Pain Management / psychology | Pain Measurement / methods | Patient Satisfaction / statistics & numerical data | Prospective Studies | Respiratory Rate / drug effects | Time Factors | Treatment Outcome",Acute Pain | Analgesia | Emergency Service | Intravenous Infusions | Ketamine,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.95,False,abstract_only,abstract,abstract,Prospective Studies,38 patients,not_reported,low-dose ketamine bolus followed by continuous infusion,15 mg intravenous ketamine followed immediately by continuous ketamine infusion at 20 mg/h,intravenous,1 hour,"10 minutes, 60 minutes, 120 minutes",,,,"Mild or moderate side effects including dizziness, fatigue, and headache were common. no severe adverse events.","Our hypothesis was that a low-dose ketamine bolus followed by continuous infusion would 1) provide clinically significant and sustained pain relief; ... At 10 minutes, the median reduction in pain score was 4, with 7 patients reporting a score of 0. At 60 and 120 minutes, 25 and 26 patients, respectively, reported clinically significant pain reduction (decrease NRS score > 3). ... CONCLUSION: A low-dose ketamine infusion protocol provided significant pain relief with mostly mild side effects and no severe adverse events.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.95; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Patient satisfaction,patient_reported_outcome,Emergency Department Patients with Severe Pain,none,none,False,"Patient satisfaction is a patient-reported outcome, not a therapeutic indication.",patient_reported_outcome,Satisfaction,positive,Patient satisfaction (85% reported they would have this medication again),Emergency Department Patients with Severe Pain,clinical,10.1111/pme.12705,,Low-Dose Ketamine Infusion for Emergency Department Patients with Severe Pain,Terence L. Ahern; Andrew A. Herring; Steve Miller; Bradley W. Frazee,2015,Pain Medicine,journal-article,not_reported,2015-02-03,1526-2375,1526-4637,Oxford University Press (OUP),"Adult | Aged | Analgesics / therapeutic use | Analgesics, Opioid / administration & dosage | Blood Pressure / drug effects | Dizziness / chemically induced | Dose-Response Relationship, Drug | Emergency Service, Hospital | Fatigue / chemically induced | Female | Headache / chemically induced | Heart Rate / drug effects | Humans | Infusions, Intravenous / methods | Ketamine / administration & dosage | Ketamine / adverse effects | Ketamine / therapeutic use | Male | Middle Aged | Morphine / administration & dosage | Oxygen / metabolism | Pain / drug therapy | Pain Management / adverse effects | Pain Management / methods | Pain Management / psychology | Pain Measurement / methods | Patient Satisfaction / statistics & numerical data | Prospective Studies | Respiratory Rate / drug effects | Time Factors | Treatment Outcome",Acute Pain | Analgesia | Emergency Service | Intravenous Infusions | Ketamine,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,abstract_only,abstract,abstract,Prospective Studies,38 patients,not_reported,low-dose ketamine infusion protocol,not_reported,not_reported,not_reported,not_reported,,,,not_reported,Patient satisfaction was high; 85% reported they would have this medication again for similar pain.,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Ketamine,not_applicable,"Mild or moderate side effects including dizziness, fatigue, and headache",safety_or_adverse_event,Emergency Department Patients with Severe Pain,none,none,False,"Adverse events are safety outcomes, not therapeutic indications.",safety_outcome,Adverse Events,negative,"Incidence of side effects (dizziness, fatigue, headache)",Emergency Department Patients with Severe Pain,clinical,10.1111/pme.12705,,Low-Dose Ketamine Infusion for Emergency Department Patients with Severe Pain,Terence L. Ahern; Andrew A. Herring; Steve Miller; Bradley W. Frazee,2015,Pain Medicine,journal-article,not_reported,2015-02-03,1526-2375,1526-4637,Oxford University Press (OUP),"Adult | Aged | Analgesics / therapeutic use | Analgesics, Opioid / administration & dosage | Blood Pressure / drug effects | Dizziness / chemically induced | Dose-Response Relationship, Drug | Emergency Service, Hospital | Fatigue / chemically induced | Female | Headache / chemically induced | Heart Rate / drug effects | Humans | Infusions, Intravenous / methods | Ketamine / administration & dosage | Ketamine / adverse effects | Ketamine / therapeutic use | Male | Middle Aged | Morphine / administration & dosage | Oxygen / metabolism | Pain / drug therapy | Pain Management / adverse effects | Pain Management / methods | Pain Management / psychology | Pain Measurement / methods | Patient Satisfaction / statistics & numerical data | Prospective Studies | Respiratory Rate / drug effects | Time Factors | Treatment Outcome",Acute Pain | Analgesia | Emergency Service | Intravenous Infusions | Ketamine,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.95,False,abstract_only,abstract,abstract,Prospective Studies,38 patients,not_reported,low-dose ketamine infusion protocol,not_reported,not_reported,not_reported,not_reported,,,,"dizziness, fatigue, headache","Mild or moderate side effects including dizziness, fatigue, and headache were common. ... no severe adverse events.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.95; needs_human_review=False
