study_doi,notes,study_title,evidence_location,study_year,source,source_type,evidence_locator,authors,access_level,disorder,compound,openalex_id,evidence_level,study_design,system,population,outcome_type,outcome_measure,paper_type,result_direction,demoted_from,cleanup_bucket,recommended_action,cleanup_issues,original_row_index,demoted_at
10.59973/emjsr.317,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,The Evaluation of the Efficacy and Safety of the Use of Psilocybin in the Treatment of Adults with Treatment-Resistant Depression,mixed,2026,doi,primary_study,"Abstract snippet: Treatment-resistant depression (TRD) has been well-researched within scientific literature, although the therapeutic value of psilocybin is not fully understood. The aim",Rishika Scott; James Smith,full_text_seen,Treatment-resistant depression,Psilocybin,,medium,open_label_trial,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,13,2026-03-12T15:16:48.883038+00:00
10.7759/cureus.82532,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Comparative Efficacy and Functional Outcomes of Psychedelic-Assisted Therapies in Treatment-Resistant Depression: A Systematic Review of Recent Clinical Trials,mixed,2025,doi,primary_study,Abstract snippet: This systematic review explores the comparative efficacy and functional outcomes of psychedelic-assisted therapies in the management of treatment-resistant depression (TR,Ciara S Mimms; Kassandra Sotelo; Abdul Khaliq,full_text_seen,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,18,2026-03-12T15:16:48.883038+00:00
10.1001/jamanetworkopen.2025.24119,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Control Group Outcomes in Trials of Psilocybin, SSRIs, or Esketamine for Depression",mixed,2025,doi,primary_study,"Abstract snippet: Importance Psilocybin has demonstrated rapid and sustained antidepressant efficacy, with acute-phase effect sizes often more than double those for conventional antidepres",Fredrik Hieronymus; Evana López; Hakon Sjögren; Johan Lundberg,full_text_seen,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,20,2026-03-12T15:16:48.883038+00:00
10.2147/ndt.s514640,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Effects of Binaural Beat Music and Esketamine for ECT in the Treatment of Major Depressive Disorder: A Randomized Controlled Trial Protocol,abstract,2025,doi,primary_study,Abstract,Ying Zhang; Z. J. Ke; Jie Luo; Qibin Chen; Xiaoming Xu; Xin Jiang; Jianping Xiong,abstract_only,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,21,2026-03-12T15:16:48.883038+00:00
10.1002/cpt.3555,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Esketamine Nasal Spray in Major Depressive Disorder: A Meta‐Analysis of Randomized Controlled Trials,abstract,2025,doi,primary_study,"Abstract snippet: Despite being approved by the US FDA and the EU European Medicines Agency, the performance of esketamine nasal spray as an adjunctive therapy with an antidepressant in ma",Zhibin Wang; Lili Jiang; Wei Ma; Xingyue Li; Qiushi Gao; Siyu Lian; Yu Weiwei,abstract_only,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,23,2026-03-12T15:16:48.883038+00:00
10.33178/smj.2025.1.4,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Evaluating the efficacy and safety of MDMA for the treatment of Post Traumatic Stress Disorder: a systematic review,table,2025,doi,primary_study,"Abstract snippet: Background: Posttraumatic stress disorder (PTSD) affects approximately 5-7% of the population, with conventional treatments often proving inadequate for some patients. Re",Megha Kodancha; Houssein Chahrour; Charles Carey; Hiva Fazeli; Anahita Azadian; Sten Kajitani,full_text_seen,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,adults with post-traumatic stress disorder,reduces PTSD severity,CAPS-5,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,24,2026-03-12T15:16:48.883038+00:00
10.1371/journal.pone.0327778,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"MDMA-assisted therapy and current treatment options for chronic, treatment-resistant, moderate or higher severity post-traumatic stress disorder: Systematic literature review",abstract,2025,doi,primary_study,"Abstract snippet: Background 3,4-methylenedioxymethamphetamine-assisted therapy (MDMA-AT) is currently being evaluated for treatment of patients with moderate or higher severity post-traum",Filip Stanicic; Vladimir Zah; Dimitrije Grbic; Djurdja Vukicevic; Debra de Angelo,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,adults with post-traumatic stress disorder,reduces PTSD severity,BDI,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,28,2026-03-12T15:16:48.883038+00:00
10.3390/medicina61040558,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Pharmacological Monotherapy for Depressive Disorders: Current and Future—A Narrative Review,abstract,2025,doi,primary_study,Abstract snippet: Objective: To narratively review currently available antidepressants and future potential antidepressants as monotherapy for the treatment of depressive disorders. Method,Keming Gao; Evrim Bayrak Oruc; Buket Koparal,abstract_only,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,31,2026-03-12T15:16:48.883038+00:00
10.1111/add.16762,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psychedelic‐assisted treatment for substance use disorder: A narrative systematic review,abstract,2025,doi,primary_study,"Abstract snippet: Abstract Background and aims This is the first systematic review of the extant literature on all major psychedelic‐assisted treatment for alcohol use disorder (AUD), toba",Theodore Piper; Francesca Small; Sam P. Brown; Michael Kelleher; Luke Mitcheson; James Rucker; Allan H. Young; John Marsden,abstract_only,Alcohol use disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with alcohol use disorder,reduces heavy drinking outcomes,Relapse rate,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,36,2026-03-12T15:16:48.883038+00:00
10.1177/00048674251315642,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Safety and efficacy of methylenedioxymethamphetamine (MDMA)-assisted psychotherapy in post-traumatic stress disorder: An overview of systematic reviews and meta-analyses,abstract,2025,doi,primary_study,Abstract snippet: Objective: To critically evaluate published and unpublished systematic reviews and meta-analyses on the safety and efficacy of methylenedioxymethamphetamine-assisted psyc,Alene Sze Jing Yong; Suzie Bratuskins; Musa Samir Sultani; Brooke Blakeley; Christopher G. Davey; J. Simon Bell,abstract_only,Post-traumatic stress disorder,MDMA,,low,preclinical_study,preclinical,adults with post-traumatic stress disorder,reduces PTSD severity,,conference_or_poster_abstract,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is conference/poster; source_type says primary_study but paper_type is weak; abstract_only,37,2026-03-12T15:16:48.883038+00:00
10.1021/acsptsci.5c00445,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,The Causal Role of Consciousness in Psychedelic Therapy for Treatment-Resistant Depression: Hypothesis and Proposal,mixed,2025,doi,primary_study,"Abstract snippet: The therapeutic potential of psychedelic substances, particularly psilocybin, for treatment-resistant depression (TRD) has garnered considerable attention. However, the n",Tobías Fernández‐Borkel; Lucas F. Borkel; Jaime Rojas‐Hernández; Elisa Hernández‐Álvarez; Domingo Jesús Quintana Hernández; Lucia Ponti; Luis Alberto Henríquez‐Hernández,full_text_seen,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,adolescents with treatment-resistant depression,reduces depressive symptoms,BDI,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,41,2026-03-12T15:16:48.883038+00:00
10.1002/npr2.12485,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,<scp>MDMA</scp>‐assisted psychotherapy for the treatment of <scp>PTSD</scp>: A systematic review and meta‐analysis of randomized controlled trials (<scp>RCTs</scp>),abstract,2024,doi,primary_study,"Abstract snippet: Abstract Background Post‐traumatic stress disorder (PTSD) is a mental health disorder resulting from exposure to traumatic events, manifesting in various debilitating sym",Ghada Shahrour; Kainat Sohail; Safa Elrais; Muhammad Hamza Khan; Javeria Javeid; Khubaib Samdani; Hajra Mansoor; Syed Hussain; Dhruvikumari Sharma; Muhammad Ali Ehsan,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,adults with post-traumatic stress disorder,no significant change in PTSD severity,CAPS-5,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,45,2026-03-12T15:16:48.883038+00:00
10.3390/brainsci14030248,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,A Systematic Review of the Neurocognitive Effects of Psychedelics in Healthy Populations: Implications for Depressive Disorders and Post-Traumatic Stress Disorder,abstract,2024,doi,primary_study,Abstract snippet: Objective: This study aims to provide an overview of pharmacological trials that examine the neurocognitive effects of psychedelics among healthy individuals and patients,Mario Renato Velit-Salazar; Paulo Shiroma; Eloise Cherian,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,adults with post-traumatic stress disorder,no significant change in PTSD severity,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,46,2026-03-12T15:16:48.883038+00:00
10.1016/j.jad.2024.01.142,Auto-generated stub from DOI queue,A comparison between psilocybin and esketamine in treatment-resistant depression using number needed to treat (NNT): A systematic review,unknown,2024,doi,primary_study,Metadata/title snippet: A comparison between psilocybin and esketamine in treatment-resistant depression using number needed to treat (NNT): A systematic review,Sabrina Wong; Angela T.H. Kwan; Kayla M. Teopiz; Gia Han Le; Shakila Meshkat; Roger Ho; Giacomo d’Andrea; Bing Cao; Joshua D. Di Vincenzo; Joshua D. Rosenblat,secondary_summary,Treatment-resistant depression,Psilocybin,,low,pending_curation,unknown,,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; secondary_summary,47,2026-03-12T15:16:48.883038+00:00
10.1556/2054.2024.00383,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"Critical review of 3,4-methylenedioxymethamphetamine (MDMA)-assisted therapy for posttraumatic stress disorder: Unanswered questions and future directions",abstract,2024,doi,primary_study,"Abstract snippet: Abstract Background and Aims Post-Traumatic Stress Disorder (PTSD) is a debilitating condition that affects a sizable proportion of U.S. civilians, military personnel, an",Alex Hood; Chris E. Corlett; Cameron T. Alldredge; Gary Elkins,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,,reduces PTSD severity,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,48,2026-03-12T15:16:48.883038+00:00
