normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,language,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,trial_registry_ids,related_dois,publication_relations,is_retracted,semantic_scholar_id,has_correction
normalized,compound and graph entity matched local registry,5-MeO-DMT,,Depression,5-MeO-DMT,Depression,5-MeO-DMT,,depression,depression,ratings of depression,outcome_measure,Depression,indication,True,10.1007/s00213-019-05236-w,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",compound_disorder,not_applicable,not_applicable,patient_reported_outcome,mental health,positive,"DASS-21 depression subscale, BSI-18 depression subscale",DASS-21; BSI-18,42 individuals who inhaled vapor from dried toad secretion at several European locations,clinical,M. V. Uthaug; R. Lancelotta; K. van Oorsouw; K. P. C. Kuypers; N. Mason; J. Rak; A. Šuláková; R. Jurok; M. Maryška; M. Kuchař,2019,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Ratings of depression, anxiety, and stress decreased after the session, and reached significance at 4 weeks. ... subjective ratings of depression, anxiety, and stress decreased within 24 h following the inhalation of the vapor from dried toad secretion containing 5-MeO-DMT, but failed to reach significance until 4 weeks later (p = 0.015, Hedges' g = 0.79; p < 0.001, Hedges' g = 0.69; p = 0.003, Hedges' g = 0.66, respectively). ... subjective ratings of depression, anxiety, and somatization decreased within 24 h of the inhalation of the vapor from dried toad secretion containing 5-MeO-DMT, but failed to reach significance until 4 weeks later (p = 0.023, Hedges' g = 0.65; p = 0.009, Hedges' g = 0.81; p = 0.011, Hedges' g = 0.85, respectively).",full_text_seen,full_text_seen,abstract,"C001, C018, C020",observational study,"Czech Ministery of Interior Affairs; Czech Ministery of Education, Youth and Sports; Charles University Prague",,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Psychopharmacology,journal-article,2019-04-13,0033-3158,1432-2072,Springer Science and Business Media LLC,"Administration, Inhalation | Adult | Animals | Bufonidae | Cognition / drug effects | Cognition / physiology | Female | Follow-Up Studies | Hallucinogens / administration & dosage | Humans | Male | Mental Disorders / drug therapy | Mental Disorders / epidemiology | Mental Disorders / psychology | Methoxydimethyltryptamines / administration & dosage | Mindfulness / methods | Personal Satisfaction | Vaping / psychology",5-MeO-DMT | Affect | Altered states of consciousness | Bufo alvarius | Cognition | Field study | Psychedelic | Satisfaction with life,"Czech Ministery of Interior Affairs | Czech Ministery of Education, Youth and Sports | Charles University Prague",VI20172020056 | LO1611 | PROGRES Q35,eng,"42 (sub-acute), 24 (4 weeks)",baseline,single inhalation of vapor from dried toad secretion containing 5-MeO-DMT,not reported,inhalation,single inhalation,4 weeks later,,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,5-MeO-DMT,,Anxiety,5-MeO-DMT,Anxiety,5-MeO-DMT,,anxiety,anxiety,ratings of anxiety,outcome_measure,Anxiety,indication,True,10.1007/s00213-019-05236-w,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",compound_disorder,not_applicable,not_applicable,patient_reported_outcome,mental health,positive,"DASS-21 anxiety subscale, BSI-18 anxiety subscale",DASS-21; BSI-18,42 individuals who inhaled vapor from dried toad secretion at several European locations,clinical,M. V. Uthaug; R. Lancelotta; K. van Oorsouw; K. P. C. Kuypers; N. Mason; J. Rak; A. Šuláková; R. Jurok; M. Maryška; M. Kuchař,2019,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Ratings of depression, anxiety, and stress decreased after the session, and reached significance at 4 weeks. ... subjective ratings of depression, anxiety, and stress decreased within 24 h following the inhalation of the vapor from dried toad secretion containing 5-MeO-DMT, but failed to reach significance until 4 weeks later (p = 0.015, Hedges' g = 0.79; p < 0.001, Hedges' g = 0.69; p = 0.003, Hedges' g = 0.66, respectively). ... subjective ratings of depression, anxiety, and somatization decreased within 24 h of the inhalation of the vapor from dried toad secretion containing 5-MeO-DMT, but failed to reach significance until 4 weeks later (p = 0.023, Hedges' g = 0.65; p = 0.009, Hedges' g = 0.81; p = 0.011, Hedges' g = 0.85, respectively).",full_text_seen,full_text_seen,abstract,"C001, C018, C020",observational study,"Czech Ministery of Interior Affairs; Czech Ministery of Education, Youth and Sports; Charles University Prague",,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Psychopharmacology,journal-article,2019-04-13,0033-3158,1432-2072,Springer Science and Business Media LLC,"Administration, Inhalation | Adult | Animals | Bufonidae | Cognition / drug effects | Cognition / physiology | Female | Follow-Up Studies | Hallucinogens / administration & dosage | Humans | Male | Mental Disorders / drug therapy | Mental Disorders / epidemiology | Mental Disorders / psychology | Methoxydimethyltryptamines / administration & dosage | Mindfulness / methods | Personal Satisfaction | Vaping / psychology",5-MeO-DMT | Affect | Altered states of consciousness | Bufo alvarius | Cognition | Field study | Psychedelic | Satisfaction with life,"Czech Ministery of Interior Affairs | Czech Ministery of Education, Youth and Sports | Charles University Prague",VI20172020056 | LO1611 | PROGRES Q35,eng,"42 (sub-acute), 24 (4 weeks)",baseline,single inhalation of vapor from dried toad secretion containing 5-MeO-DMT,not reported,inhalation,single inhalation,4 weeks later,,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,S-ketamine,,Bipolar depression,S-ketamine,Bipolar depression,esketamine,,bipolar depression,bipolar depression,"useful drug in the treatment of bipolar depression, showing high efficacy and good tolerability",therapeutic_indication,Bipolar depression,indication,True,10.1192/j.eurpsy.2025.1046,Real clinical experience of inhaled esketamine in bipolar depression. A retrospective study,compound_disorder,not_applicable,not_applicable,therapeutic effect,overall therapeutic effect,positive,treatment efficacy,,patients with bipolar depression,clinical,S. Benavente López; A. Lara Fernández; E. Toro Carrasco; I. Pedrero Torrejon; A. Parra González; M. Mejia Quiterio; A. Viñas Arboleda; E. Losantos Ucha; E. Baca García,2025,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"This study shows that inhaled esktemina may be a useful drug in the treatment of bipolar depression, showing high efficacy and good tolerability.",full_text_seen,full_text_seen,abstract,abstract,Retrospective descriptive study,,None Declared,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,European Psychiatry,journal-article,2025-04,0924-9338,1778-3585,Royal College of Psychiatrists,,,,,en,3,not_reported,inhaled esketamine,not_reported,inhaled,not_reported,not_reported,,,,good tolerability,low,alias,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,MDMA,,Major depressive disorder,MDMA,Major depressive disorder,MDMA,,Major Depressive Disorder,Major Depressive Disorder,significant reduction of MADRS scores,outcome_measure,Major depressive disorder,indication,True,10.1016/j.jpsychires.2025.11.030,MDMA-assisted therapy for major depressive disorder: A seven-month follow-up proof of principle trial,compound_disorder,Major Depressive Disorder,not_reported,clinical_scale,depression,positive,Montgomery-Asberg Depression Rating Scale (MADRS),MADRS,participants with MDD and an ongoing moderate to severe depressive episode,clinical,Tor-Morten Kvam; Justyna Rog; Lowan Han Stewart; Ingrid Autran; Mark Berthold-Losleben; Lynn Mørch-Johnsen; René Holst; Jan Ivar Røssberg; Ole A. Andreassen,2025,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"At follow-up, there was a significant reduction of MADRS (p < 0.001) and SDS (p = 0.001) scores compared with baseline",abstract_only,abstract_only,abstract,abstract,follow-up proof of principle trial,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Journal of Psychiatric Research,journal-article,2025-11-27,0022-3956,1879-1379,Elsevier BV,"Humans | Major Depressive Disorder / therapy | Major Depressive Disorder / drug therapy | Female | Male | Adult | Follow-Up Studies | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Middle Aged | Outcome Assessment, Health Care | Proof of Concept Study | Psychotherapy / methods | Combined Modality Therapy | Psychiatric Status Rating Scales",Long-term follow-up | MDMA | MDMA-Assisted therapy | Major depressive disorder,,,eng,Twelve participants,baseline,MDMA-assisted therapy (MDMA-AT),not_reported,not_reported,"two MDMA dosing sessions one month apart, integrated with nine psychotherapy sessions",seven months after baseline,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},2021-000805-26,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,ketamine,,treatment-resistant depression,treatment-resistant depression,rapid antidepressant effect,therapeutic_indication,Treatment-resistant depression,indication,True,10.1016/j.psychres.2018.08.078,"Rapid inflammation modulation and antidepressant efficacy of a low-dose ketamine infusion in treatment-resistant depression: A randomized, double-blind control study",compound_disorder,treatment-resistant depression,not_reported,therapeutic effect,depressive symptoms,positive,Montgomery-Åsberg Depression Rating Scale (MADRS) scores,MADRS,patients with TRD,clinical,Mu-Hong Chen; Cheng-Ta Li; Wei-Chen Lin; Chen-Jee Hong; Pei-Chi Tu; Ya-Mei Bai; Chih-Ming Cheng; Tung-Ping Su,2018,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Increasing evidence supports the rapid antidepressant effect of a low-dose ketamine infusion in treatment-resistant depression (TRD). ... Montgomery-Åsberg Depression Rating Scale (MADRS) was assessed for depressive symptoms across time. ... The decrease in TNF-α between baseline and 40 min postinfusion was positively correlated with a decrease in MADRS scores across time in the 0.5 mg/kg ketamine group.,abstract_only,abstract_only,abstract,abstract,"randomized, double-blind control study",,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Psychiatry Research,journal-article,2018-08-21,0165-1781,1872-7123,Elsevier BV,"Adult | Antidepressive Agents / administration & dosage | Depressive Disorder, Treatment-Resistant / blood | Depressive Disorder, Treatment-Resistant / drug therapy | Dose-Response Relationship, Drug | Double-Blind Method | Female | Humans | Inflammation / blood | Inflammation / drug therapy | Inflammation Mediators / antagonists & inhibitors | Inflammation Mediators / blood | Infusions, Intravenous | Ketamine / administration & dosage | Male | Middle Aged | Time Factors | Treatment Outcome | Tumor Necrosis Factor-alpha / antagonists & inhibitors | Tumor Necrosis Factor-alpha / blood",CRP | Cytokines | IL-6 | Ketamine | TNF-α | Treatment-resistant depression,,,eng,Seventy-one patients,normal saline infusion,low-dose ketamine infusion,"0.5 mg/kg ketamine, 0.2 mg/kg ketamine",infusion,single infusion,"40 min, 240 min, Day 3, and Day 7 postinfusion",,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Neuropathic pain,Ketamine,Neuropathic pain,Ketamine,,neuropathic pain,neuropathic pain,pain intensity,outcome_measure,Neuropathic pain,indication,True,10.1016/s0885-3924(01)00253-6,An Unusual Case of Chronic Neuropathic Pain Responds to an Optimum Frequency of Intravenous Ketamine Infusions,compound_disorder,chronic neuropathic pain,not_reported,therapeutic_effect,pain,positive,pain intensity,,44-year-old woman with neuropathic pain in her left arm after a right-sided forequarter amputation,clinical,Alison C Mitchell,2001,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,1.0,False,The pain intensity experienced by the patient lessened as the frequency of the ketamine infusions increased.,abstract_only,abstract_only,abstract,abstract,case report,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Journal of Pain and Symptom Management,journal-article,2001-05-01,0885-3924,1873-6513,Elsevier BV,Adult | Chronic Disease | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Female | Humans | Ketamine / administration & dosage | Ketamine / therapeutic use | Pain / drug therapy | Pain / etiology | Phantom Limb / drug therapy,,,,eng,1,not_reported,intravenous ketamine infusions,not_reported,intravenous,Twenty-one infusions over a period of four months,over a period of four months,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,ketamine,,treatment-resistant depression,treatment-resistant depression,rapid antidepressant effects,therapeutic_indication,Treatment-resistant depression,indication,True,10.1017/s1461145713001119,Plasma brain derived neurotrophic factor (BDNF) and response to ketamine in treatment-resistant depression,compound_disorder,treatment-resistant depression,not_reported,therapeutic effect,depression symptoms,positive,antidepressant effects,,patients with treatment-resistant depression (TRD),clinical,C. N. Haile; J. W. Murrough; D. V. Iosifescu; L. C. Chang; R. K. Al Jurdi; A. Foulkes; S. Iqbal; J. J. Mahoney; R. De La Garza; D. S. Charney,2013,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Ketamine produces rapid antidepressant effects in treatment-resistant depression (TRD),abstract_only,abstract_only,abstract,abstract,randomized controlled trial,NIMH NIH HHS | NCATS NIH HHS | NIDA NIH HHS,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,The International Journal of Neuropsychopharmacology,journal-article,2013-10-08,1461-1457,1469-5111,Oxford University Press (OUP),"Adult | Aged | Aged, 80 and over | Biomarkers / blood | Brain-Derived Neurotrophic Factor / blood | Depressive Disorder, Treatment-Resistant / blood | Depressive Disorder, Treatment-Resistant / diagnosis | Depressive Disorder, Treatment-Resistant / drug therapy | Double-Blind Method | Female | Humans | Ketamine / therapeutic use | Male | Midazolam / therapeutic use | Middle Aged | Treatment Outcome | Young Adult",,NIMH NIH HHS | NCATS NIH HHS | NIDA NIH HHS,K23 MH094707 | R01MH081870 | R01 MH081870 | 1K23MH094707-01 | UL1 TR000067 | R25 DA028976 | UL1TR000067,eng,22,midazolam,ketamine,not_reported,infusion,single infusion,rapid,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,LSD,,Alcohol use disorder,LSD,Alcohol use disorder,LSD,,Alcohol Use Disorder,Alcohol Use Disorder,alcohol intake,outcome_measure,Alcohol use disorder,indication,True,10.1093/ijnp/pyae059.125,BEHAVIORAL AND ELECTROPHYSIOLOGICAL EFFECTS OF LYSERGIC ACID DIETHYLAMIDE (LSD) IN A MOUSE MODEL OF ALCOHOL USE DISORDER (AUD),compound_disorder,Alcohol Use Disorder (AUD),not_applicable,behavioral,Substance Use,positive,alcohol intake,,C57BL6/J 8-week-old male mice (AUD model),preclinical,*Danilo De Gregorio; Carolina Giulia Ferroni; Noemi Nicosia; Margherita Spadaccini,2025,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,LSD significantly reduced the alcohol intake (p<0.05),full_text_seen,full_text_seen,abstract,"Abstract, Results",animal model (DID paradigm),,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,International Journal of Neuropsychopharmacology,journal-article,2025-02,1461-1457,1469-5111,Oxford University Press (OUP),,,,,en,not_reported,vehicle,single intraperitoneal injection of LSD,150 mcg/kg,intraperitoneal,single administration,The day after the injections (40 days two-bottle choice test),,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Suicidal ideation,Ketamine,Suicidal ideation,ketamine,,suicidal ideation,suicidal ideation,suicidal ideation (using MADRS-SI scores),therapeutic_indication,Suicidal ideation,indication,True,10.1093/ijnp/pyw043.222,PS222. Ketamine Exerts a Prolonged Reduction in Suicidal Ideation Independent of its Antidepressant Effects,compound_disorder,treatment-resistant major depressive disorder,not_reported,therapeutic_effect,psychiatric symptoms,positive,MADRS-SI scores,MADRS-SI,patients with treatment-resistant major depressive disorder (MDD),clinical,Jennifer L. Phillips; Sandhaya Norris; Jeanne Talbot; Olabisi Owoeye; Pierre Blier,2016,conference_abstract,doi,conference_abstract,conference_abstract,primary_evidence,uncertain,supported,0.9,True,"Both groups had significant reductions in MADRS-SI scores (responders -1.9, p<0.001; nonresponders -1.6, p<0.001) and the difference in the magnitude of change in MADRS-SI scores between groups was not statistically significant (p=0.44). Conclusions: Ketamine had a direct effect on lessening suicidal ideation even in patients who failed to show a reduction in depression severity with repeated infusions.",full_text_seen,full_text_seen,text,C002,randomized controlled trial,,,,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=True,The International Journal of Neuropsychopharmacology,article,2016-05-27,1461-1457,1469-5111,University of Oxford,,Antidepressant | Ketamine | Suicidal ideation | Psychology | Clinical psychology | Medicine | Psychiatry | Suicide prevention | Poison control | Medical emergency | Anxiety,,,en,19,midazolam (active placebo) in Phase 1,ketamine infusions,not_reported,intravenous,"7 infusions (1 in Phase 1, 6 over two weeks in Phase 2)",pre-and post-treatment,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Major depressive disorder,Ketamine,Major depressive disorder,ketamine,,major depressive disorder,major depressive disorder,depressive symptoms (using the Montgomery-Asberg Depression Rating Scale [MADRS]),therapeutic_indication,Major depressive disorder,indication,True,10.1093/ijnp/pyw043.222,PS222. Ketamine Exerts a Prolonged Reduction in Suicidal Ideation Independent of its Antidepressant Effects,compound_disorder,treatment-resistant,not_reported,therapeutic_effect,psychiatric symptoms,positive,Montgomery-Asberg Depression Rating Scale [MADRS] scores,MADRS,patients with treatment-resistant major depressive disorder (MDD),clinical,Jennifer L. Phillips; Sandhaya Norris; Jeanne Talbot; Olabisi Owoeye; Pierre Blier,2016,conference_abstract,doi,conference_abstract,conference_abstract,primary_evidence,uncertain,supported,0.9,True,The primary outcome measures were pre-and post-treatment changes in depressive symptoms (using the Montgomery-Asberg Depression Rating Scale [MADRS]). Results: Patients with a 50% decrease in total MADRS scores from pre-to post-treatment were considered ketamine responders. Responders (n = 10) had a larger reduction in MADRS scores (62%) compared to nonresponders (n = 9; 17%) (p<0.001).,full_text_seen,full_text_seen,text,C002,randomized controlled trial,,,,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=True,The International Journal of Neuropsychopharmacology,article,2016-05-27,1461-1457,1469-5111,University of Oxford,,Antidepressant | Ketamine | Suicidal ideation | Psychology | Clinical psychology | Medicine | Psychiatry | Suicide prevention | Poison control | Medical emergency | Anxiety,,,en,19,midazolam (active placebo) in Phase 1,ketamine infusions,not_reported,intravenous,"7 infusions (1 in Phase 1, 6 over two weeks in Phase 2)",pre-and post-treatment,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
