seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_02258,disorder,pair_core,2C-I Social anxiety disorder treatment outcome,2C-I,Social anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_02259,disorder,pair_core,2C-I Distress associated with life-threatening disease clinical trial,2C-I,Distress associated with life-threatening disease,indication,{compound} {entity} clinical trial
disorder_02260,disorder,pair_core,2C-I Distress associated with life-threatening disease randomized placebo,2C-I,Distress associated with life-threatening disease,indication,{compound} {entity} randomized placebo
disorder_02261,disorder,pair_core,2C-I Distress associated with life-threatening disease treatment outcome,2C-I,Distress associated with life-threatening disease,indication,{compound} {entity} treatment outcome
disorder_02262,disorder,pair_core,2C-I Obsessive-compulsive disorder clinical trial,2C-I,Obsessive-compulsive disorder,indication,{compound} {entity} clinical trial
disorder_02263,disorder,pair_core,2C-I Obsessive-compulsive disorder randomized placebo,2C-I,Obsessive-compulsive disorder,indication,{compound} {entity} randomized placebo
disorder_02264,disorder,pair_core,2C-I Obsessive-compulsive disorder treatment outcome,2C-I,Obsessive-compulsive disorder,indication,{compound} {entity} treatment outcome
disorder_02265,disorder,pair_core,2C-I Eating disorders clinical trial,2C-I,Eating disorders,indication,{compound} {entity} clinical trial
disorder_02266,disorder,pair_core,2C-I Eating disorders randomized placebo,2C-I,Eating disorders,indication,{compound} {entity} randomized placebo
disorder_02267,disorder,pair_core,2C-I Eating disorders treatment outcome,2C-I,Eating disorders,indication,{compound} {entity} treatment outcome
disorder_02268,disorder,pair_core,2C-I Anorexia nervosa clinical trial,2C-I,Anorexia nervosa,indication,{compound} {entity} clinical trial
disorder_02269,disorder,pair_core,2C-I Anorexia nervosa randomized placebo,2C-I,Anorexia nervosa,indication,{compound} {entity} randomized placebo
disorder_02270,disorder,pair_core,2C-I Anorexia nervosa treatment outcome,2C-I,Anorexia nervosa,indication,{compound} {entity} treatment outcome
disorder_02271,disorder,pair_core,2C-I Bulimia nervosa clinical trial,2C-I,Bulimia nervosa,indication,{compound} {entity} clinical trial
disorder_02272,disorder,pair_core,2C-I Bulimia nervosa randomized placebo,2C-I,Bulimia nervosa,indication,{compound} {entity} randomized placebo
disorder_02273,disorder,pair_core,2C-I Bulimia nervosa treatment outcome,2C-I,Bulimia nervosa,indication,{compound} {entity} treatment outcome
disorder_02274,disorder,pair_core,2C-I Binge-eating disorder clinical trial,2C-I,Binge-eating disorder,indication,{compound} {entity} clinical trial
disorder_02275,disorder,pair_core,2C-I Binge-eating disorder randomized placebo,2C-I,Binge-eating disorder,indication,{compound} {entity} randomized placebo
disorder_02276,disorder,pair_core,2C-I Binge-eating disorder treatment outcome,2C-I,Binge-eating disorder,indication,{compound} {entity} treatment outcome
disorder_02277,disorder,pair_core,2C-I Autism spectrum disorder clinical trial,2C-I,Autism spectrum disorder,indication,{compound} {entity} clinical trial
disorder_02278,disorder,pair_core,2C-I Autism spectrum disorder randomized placebo,2C-I,Autism spectrum disorder,indication,{compound} {entity} randomized placebo
disorder_02279,disorder,pair_core,2C-I Autism spectrum disorder treatment outcome,2C-I,Autism spectrum disorder,indication,{compound} {entity} treatment outcome
disorder_02280,disorder,pair_core,2C-I Demoralization clinical trial,2C-I,Demoralization,indication,{compound} {entity} clinical trial
disorder_02281,disorder,pair_core,2C-I Demoralization randomized placebo,2C-I,Demoralization,indication,{compound} {entity} randomized placebo
disorder_02282,disorder,pair_core,2C-I Demoralization treatment outcome,2C-I,Demoralization,indication,{compound} {entity} treatment outcome
disorder_02283,disorder,pair_core,2C-I Suicidal ideation clinical trial,2C-I,Suicidal ideation,indication,{compound} {entity} clinical trial
disorder_02284,disorder,pair_core,2C-I Suicidal ideation randomized placebo,2C-I,Suicidal ideation,indication,{compound} {entity} randomized placebo
disorder_02285,disorder,pair_core,2C-I Suicidal ideation treatment outcome,2C-I,Suicidal ideation,indication,{compound} {entity} treatment outcome
disorder_02286,disorder,pair_core,2C-I Cluster headache clinical trial,2C-I,Cluster headache,indication,{compound} {entity} clinical trial
disorder_02287,disorder,pair_core,2C-I Cluster headache randomized placebo,2C-I,Cluster headache,indication,{compound} {entity} randomized placebo
disorder_02288,disorder,pair_core,2C-I Cluster headache treatment outcome,2C-I,Cluster headache,indication,{compound} {entity} treatment outcome
disorder_02289,disorder,pair_core,2C-I Headache disorders clinical trial,2C-I,Headache disorders,indication,{compound} {entity} clinical trial
disorder_02290,disorder,pair_core,2C-I Headache disorders randomized placebo,2C-I,Headache disorders,indication,{compound} {entity} randomized placebo
disorder_02291,disorder,pair_core,2C-I Headache disorders treatment outcome,2C-I,Headache disorders,indication,{compound} {entity} treatment outcome
disorder_02292,disorder,pair_core,2C-I Migraine clinical trial,2C-I,Migraine,indication,{compound} {entity} clinical trial
disorder_02293,disorder,pair_core,2C-I Migraine randomized placebo,2C-I,Migraine,indication,{compound} {entity} randomized placebo
disorder_02294,disorder,pair_core,2C-I Migraine treatment outcome,2C-I,Migraine,indication,{compound} {entity} treatment outcome
disorder_02295,disorder,pair_core,2C-I Chronic pain clinical trial,2C-I,Chronic pain,indication,{compound} {entity} clinical trial
disorder_02296,disorder,pair_core,2C-I Chronic pain randomized placebo,2C-I,Chronic pain,indication,{compound} {entity} randomized placebo
disorder_02297,disorder,pair_core,2C-I Chronic pain treatment outcome,2C-I,Chronic pain,indication,{compound} {entity} treatment outcome
disorder_02298,disorder,pair_core,2C-I Fibromyalgia clinical trial,2C-I,Fibromyalgia,indication,{compound} {entity} clinical trial
disorder_02299,disorder,pair_core,2C-I Fibromyalgia randomized placebo,2C-I,Fibromyalgia,indication,{compound} {entity} randomized placebo
