paper_id,doi,paper_openalex_id,author_id,display_name,canonical_name,openalex_author_id,orcid,author_position,author_position_label,is_first_author,is_last_author,source,identity_confidence
paper:10.1002/advs.202303503,10.1002/advs.202303503,https://openalex.org/W4390397319,openalex:A5111102750,Yi Fan,yi fan,https://openalex.org/A5111102750,,7,middle,False,False,openalex,openalex_author_id
paper:10.1002/advs.202303503,10.1002/advs.202303503,https://openalex.org/W4390397319,openalex:A5111102750,Yi Fan,yi fan,https://openalex.org/A5111102750,,14,middle,False,False,openalex,openalex_author_id
paper:10.1002/cbic.202400162,10.1002/cbic.202400162,https://openalex.org/W4399671641,orcid:0000-0001-6534-0522,Sanjit Dey,sanjit dey,https://openalex.org/A5071823137,0000-0001-6534-0522,7,middle,False,False,openalex,orcid
paper:10.1002/cbic.202400162,10.1002/cbic.202400162,https://openalex.org/W4399671641,orcid:0000-0001-6534-0522,Sanjit Dey,sanjit dey,https://openalex.org/A5071823137,0000-0001-6534-0522,8,middle,False,False,openalex,name_alias_to_orcid
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5016090152,Aurora Enea,aurora enea,https://openalex.org/A5016090152,,14,middle,False,False,openalex,openalex_author_id
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5038875286,Giuditta Di Melchiorre,giuditta di melchiorre,https://openalex.org/A5038875286,,15,middle,False,False,openalex,openalex_author_id
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5016090152,Aurora Enea,aurora enea,https://openalex.org/A5016090152,,26,middle,False,False,openalex,openalex_author_id
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5038875286,Giuditta Di Melchiorre,giuditta di melchiorre,https://openalex.org/A5038875286,,27,middle,False,False,openalex,openalex_author_id
paper:10.1002/hup.2836,10.1002/hup.2836,https://openalex.org/W4213037518,orcid:0000-0002-0389-1940,Ana Paula Jesus‐Nunes,ana paula jesus‐nunes,https://openalex.org/A5044568755,0000-0002-0389-1940,1,first,True,False,openalex,orcid
paper:10.1002/hup.2836,10.1002/hup.2836,https://openalex.org/W4213037518,orcid:0000-0002-0389-1940,Lucas C. Quarantini,lucas c. quarantini,,0000-0002-0389-1940,16,last,False,True,openalex,orcid
paper:10.1002/tox.23365,10.1002/tox.23365,https://openalex.org/W3198625770,orcid:0000-0002-0427-782X,Xue Wu,xue wu,https://openalex.org/A5011911845,0000-0002-0427-782X,9,middle,False,False,openalex,orcid
paper:10.1002/tox.23365,10.1002/tox.23365,https://openalex.org/W3198625770,orcid:0000-0002-0427-782X,Xue Wu,xue wu,https://openalex.org/A5011911845,0000-0002-0427-782X,10,middle,False,False,openalex,name_alias_to_orcid
paper:10.1002/tox.23365,10.1002/tox.23365,https://openalex.org/W3198625770,orcid:0000-0003-3757-5767,Xu Wu,xu wu,,0000-0003-3757-5767,13,middle,False,False,openalex,orcid
paper:10.1002/tox.23365,10.1002/tox.23365,https://openalex.org/W3198625770,orcid:0000-0003-3757-5767,Xu Wu,xu wu,,0000-0003-3757-5767,14,last,False,True,openalex,orcid
