seed_id,dataset,provider_profile,module_id,module_type,query,compound,entity,compound_terms,entity_terms,evidence_terms,recommended_max_results_per_seed
disorder_boolean_openalex_001,disorder,openalex,clinical_class_core,primary_boolean,"(psychedelic OR psychedelics OR ""psychedelic-assisted therapy"" OR hallucinogen OR psychoplastogen OR psilocybin OR psilocin OR LSD OR ""lysergic acid diethylamide"" OR MDMA OR ""3,4-methylenedioxymethamphetamine"" OR ketamine OR esketamine OR ayahuasca OR DMT OR ""5-MeO-DMT"" OR mescaline OR ibogaine) AND (depression OR anxiety OR ""post-traumatic stress disorder"" OR PTSD OR ""substance use disorder"" OR addiction OR ""obsessive-compulsive disorder"" OR OCD OR ""eating disorder"" OR ""cluster headache"" OR migraine OR ""chronic pain"") AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,"psychedelic | psychedelics | psychedelic-assisted therapy | hallucinogen | psychoplastogen | psilocybin | psilocin | LSD | lysergic acid diethylamide | MDMA | 3,4-methylenedioxymethamphetamine | ketamine | esketamine | ayahuasca | DMT | 5-MeO-DMT | mescaline | ibogaine",depression | anxiety | post-traumatic stress disorder | PTSD | substance use disorder | addiction | obsessive-compulsive disorder | OCD | eating disorder | cluster headache | migraine | chronic pain,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,500
disorder_boolean_openalex_002,disorder,openalex,depression_spectrum,primary_boolean,"(psychedelic OR psychedelics OR ""psychedelic-assisted therapy"" OR hallucinogen OR psychoplastogen OR psilocybin OR psilocin OR LSD OR ""lysergic acid diethylamide"" OR MDMA OR ""3,4-methylenedioxymethamphetamine"" OR ketamine OR esketamine OR ayahuasca OR DMT OR ""5-MeO-DMT"" OR mescaline OR ibogaine) AND (depression OR ""major depressive disorder"" OR MDD OR ""treatment-resistant depression"" OR TRD OR ""bipolar depression"" OR ""persistent depressive disorder"" OR dysthymia) AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,"psychedelic | psychedelics | psychedelic-assisted therapy | hallucinogen | psychoplastogen | psilocybin | psilocin | LSD | lysergic acid diethylamide | MDMA | 3,4-methylenedioxymethamphetamine | ketamine | esketamine | ayahuasca | DMT | 5-MeO-DMT | mescaline | ibogaine",depression | major depressive disorder | MDD | treatment-resistant depression | TRD | bipolar depression | persistent depressive disorder | dysthymia,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,500
disorder_boolean_openalex_003,disorder,openalex,trauma_ptsd,primary_boolean,"(MDMA OR ""3,4-methylenedioxymethamphetamine"" OR psilocybin OR ketamine OR ""psychedelic-assisted therapy"") AND (PTSD OR ""post-traumatic stress disorder"" OR ""posttraumatic stress disorder"" OR trauma) AND (""clinical trial"" OR randomized OR placebo OR therapy OR psychotherapy OR safety OR ""follow-up"" OR outcome)",,,"MDMA | 3,4-methylenedioxymethamphetamine | psilocybin | ketamine | psychedelic-assisted therapy",PTSD | post-traumatic stress disorder | posttraumatic stress disorder | trauma,clinical trial | randomized | placebo | therapy | psychotherapy | safety | follow-up | outcome,500
disorder_boolean_openalex_004,disorder,openalex,substance_use_addiction,primary_boolean,"(psilocybin OR LSD OR ketamine OR ibogaine OR noribogaine OR ayahuasca OR psychedelic) AND (""substance use disorder"" OR addiction OR dependence OR ""alcohol use disorder"" OR ""tobacco use disorder"" OR ""smoking cessation"" OR ""opioid use disorder"" OR ""cocaine use disorder"" OR ""methamphetamine use disorder"") AND (""clinical trial"" OR treatment OR abstinence OR cessation OR craving OR relapse OR safety OR outcome)",,,psilocybin | LSD | ketamine | ibogaine | noribogaine | ayahuasca | psychedelic,substance use disorder | addiction | dependence | alcohol use disorder | tobacco use disorder | smoking cessation | opioid use disorder | cocaine use disorder | methamphetamine use disorder,clinical trial | treatment | abstinence | cessation | craving | relapse | safety | outcome,500
disorder_boolean_openalex_005,disorder,openalex,anxiety_distress_palliative,primary_boolean,"(psilocybin OR LSD OR MDMA OR ketamine OR ayahuasca OR ""psychedelic-assisted therapy"") AND (anxiety OR ""generalized anxiety disorder"" OR ""social anxiety disorder"" OR ""cancer anxiety"" OR ""cancer depression"" OR ""life-threatening disease"" OR ""end-of-life"" OR ""existential distress"" OR demoralization OR palliative) AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,psilocybin | LSD | MDMA | ketamine | ayahuasca | psychedelic-assisted therapy,anxiety | generalized anxiety disorder | social anxiety disorder | cancer anxiety | cancer depression | life-threatening disease | end-of-life | existential distress | demoralization | palliative,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,500
disorder_boolean_openalex_006,disorder,openalex,pain_headache,primary_boolean,"(LSD OR psilocybin OR ketamine OR psychedelic) AND (""cluster headache"" OR migraine OR headache OR ""chronic pain"" OR fibromyalgia) AND (""clinical trial"" OR treatment OR pain OR ""attack frequency"" OR analgesia OR efficacy OR safety OR outcome)",,,LSD | psilocybin | ketamine | psychedelic,cluster headache | migraine | headache | chronic pain | fibromyalgia,clinical trial | treatment | pain | attack frequency | analgesia | efficacy | safety | outcome,500
disorder_boolean_openalex_007,disorder,openalex,ocd_eating_autism,primary_boolean,"(psilocybin OR LSD OR MDMA OR ketamine OR ayahuasca OR psychedelic) AND (""obsessive-compulsive disorder"" OR OCD OR ""eating disorder"" OR ""anorexia nervosa"" OR ""bulimia nervosa"" OR ""binge-eating disorder"" OR ""autism spectrum disorder"" OR autism) AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,psilocybin | LSD | MDMA | ketamine | ayahuasca | psychedelic,obsessive-compulsive disorder | OCD | eating disorder | anorexia nervosa | bulimia nervosa | binge-eating disorder | autism spectrum disorder | autism,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,500
disorder_boolean_openalex_008,disorder,openalex,psilocybin_depression,dense_topic,"(psilocybin OR psilocin) AND (depression OR ""major depressive disorder"" OR MDD OR ""treatment-resistant depression"" OR TRD) AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,psilocybin | psilocin,depression | major depressive disorder | MDD | treatment-resistant depression | TRD,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,1000
disorder_boolean_openalex_009,disorder,openalex,mdma_ptsd,dense_topic,"(MDMA OR ""3,4-methylenedioxymethamphetamine"") AND (PTSD OR ""post-traumatic stress disorder"" OR ""posttraumatic stress disorder"") AND (""clinical trial"" OR randomized OR placebo OR psychotherapy OR ""assisted therapy"" OR safety OR ""follow-up"")",,,"MDMA | 3,4-methylenedioxymethamphetamine",PTSD | post-traumatic stress disorder | posttraumatic stress disorder,clinical trial | randomized | placebo | psychotherapy | assisted therapy | safety | follow-up,1000
disorder_boolean_openalex_010,disorder,openalex,ketamine_depression_suicidality,dense_topic,"(ketamine OR esketamine OR arketamine OR ""S-ketamine"" OR ""R-ketamine"") AND (depression OR ""treatment-resistant depression"" OR TRD OR ""suicidal ideation"" OR suicidality OR ""bipolar depression"") AND (""clinical trial"" OR randomized OR randomised OR placebo OR ""open-label"" OR ""open label"" OR ""phase 2"" OR ""phase 3"" OR treatment OR therapy OR efficacy OR safety OR tolerability OR outcome OR ""follow-up"")",,,ketamine | esketamine | arketamine | S-ketamine | R-ketamine,depression | treatment-resistant depression | TRD | suicidal ideation | suicidality | bipolar depression,clinical trial | randomized | randomised | placebo | open-label | open label | phase 2 | phase 3 | treatment | therapy | efficacy | safety | tolerability | outcome | follow-up,1000
