normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,language,mesh_terms,keywords,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,has_correction,semantic_scholar_id
normalized,compound and graph entity matched local registry,ibogaine,,substance use disorders,Ibogaine,Substance use disorder,,,,,substance use disorders,therapeutic_indication,substance use disorders,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,Our study aims to evaluate the efficacy and safety of ibogaine in the treatment of substance use disorders and to determine its therapeutic potential.,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,disorder,disorders,label,fuzzy_high_confidence,ibogaine,substance use disorders,needs_external_id_lookup,needs_external_id_lookup,{},{},Substance use disorder,0.9778,,,,,,,,,,
normalized,compound and graph entity matched local registry,ibogaine,,opioid dependence,Ibogaine,Opioid use disorder,,,,,opioid dependence,therapeutic_indication,opioid dependence,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,disorder,disorders,label,alias,ibogaine,opioid dependence,needs_external_id_lookup,needs_external_id_lookup,{},{},Opioid use disorder,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,ibogaine,,cocaine dependence,Ibogaine,Cocaine use disorder,,,,,cocaine dependence,therapeutic_indication,cocaine dependence,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,disorder,disorders,label,alias,ibogaine,cocaine dependence,needs_external_id_lookup,needs_external_id_lookup,{},{},Cocaine use disorder,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,ibogaine,,alcohol dependence,Ibogaine,Alcohol use disorder,,,,,alcohol dependence,therapeutic_indication,alcohol dependence,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,disorder,disorders,label,alias,ibogaine,alcohol dependence,needs_external_id_lookup,needs_external_id_lookup,{},{},Alcohol use disorder,1.0,,,,,,,,,,
entity_unmapped,graph entity `withdrawal symptoms and cravings` did not match registry,ibogaine,,withdrawal symptoms and cravings,Ibogaine,,,,,,withdrawal symptoms and cravings,therapeutic_indication,withdrawal symptoms and cravings,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Ibogaine, a naturally occurring indole alkaloid derived from Tabernanthe iboga, has attracted increasing scientific interest due to its reported ability to reduce withdrawal symptoms and cravings.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,disorder,disorders,label,,ibogaine,withdrawal symptoms and cravings,needs_external_id_lookup,,{},{},anxiety symptoms,0.4583,,,,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelics,,Treatment-Resistant Depression,,Treatment-resistant depression,,,,,Treatment-Resistant Depression,therapeutic_indication,Treatment-Resistant Depression,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Emerging therapeutic strategies, particularly glutamatergic modulators and psychedelics, have shown promising results in managing TRD.",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,disorder,disorders,,label,psychedelics,Treatment-Resistant Depression,,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,en,,,,,,,,,
normalized,compound and graph entity matched local registry,ketamine,,depressive symptoms,Ketamine,Depression,,,,,depressive symptoms,therapeutic_indication,depressive symptoms,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,disorder,disorders,label,alias,ketamine,depressive symptoms,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,en,,,,,,,,,
normalized,compound and graph entity matched local registry,esketamine,,depressive symptoms,S-ketamine,Depression,,,,,depressive symptoms,therapeutic_indication,depressive symptoms,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,disorder,disorders,alias,alias,esketamine,depressive symptoms,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,en,,,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,Treatment-Resistant Depression,Psilocybin,Treatment-resistant depression,,,,,Treatment-Resistant Depression,therapeutic_indication,Treatment-Resistant Depression,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"We conducted a narrative review using PubMed and Scopus with the query ""(treatment resistant depression OR TRD) AND (glutamatergic OR glutamate OR psychedelic OR psilocybin OR antipsychotic augmentation) NOT (review OR animal OR mouse).""",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,disorder,disorders,label,label,psilocybin,Treatment-Resistant Depression,needs_external_id_lookup,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,en,,,,,,,,,
entity_unmapped,graph entity `addiction` did not match registry,psilocybin,,addiction,Psilocybin,,,,,,addiction,therapeutic_indication,addiction,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Addiction,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,,psilocybin,addiction,needs_external_id_lookup,,{},{},opioid addiction,0.72,,,,,,,,,,
