seed_id,dataset,provider_profile,module_id,module_type,query,compound,entity,compound_terms,entity_terms,evidence_terms,recommended_max_results_per_seed
mechanistic_boolean_pubmed_001,mechanistic,pubmed,serotonin_receptors,primary_boolean,"(psychedelic[Title/Abstract] OR psychedelics[Title/Abstract] OR ""serotonergic psychedelic""[Title/Abstract] OR hallucinogen[Title/Abstract] OR psychoplastogen[Title/Abstract] OR LSD[Title/Abstract] OR ""lysergic acid diethylamide""[Title/Abstract] OR psilocybin[Title/Abstract] OR psilocin[Title/Abstract] OR DMT[Title/Abstract] OR ""5-MeO-DMT""[Title/Abstract] OR mescaline[Title/Abstract] OR DOI[Title/Abstract] OR ""2C-B""[Title/Abstract] OR NBOMe[Title/Abstract]) AND (""5-HT2A""[Title/Abstract] OR HTR2A[Title/Abstract] OR ""serotonin 2A receptor""[Title/Abstract] OR ""5-HT2B""[Title/Abstract] OR HTR2B[Title/Abstract] OR ""5-HT2C""[Title/Abstract] OR HTR2C[Title/Abstract] OR ""5-HT1A""[Title/Abstract] OR HTR1A[Title/Abstract] OR ""serotonin receptor""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR Ki[Title/Abstract] OR Kd[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR radioligand[Title/Abstract] OR ""functional assay""[Title/Abstract] OR agonist[Title/Abstract] OR antagonist[Title/Abstract] OR ""partial agonist""[Title/Abstract] OR signaling[Title/Abstract])",,,psychedelic | psychedelics | serotonergic psychedelic | hallucinogen | psychoplastogen | LSD | lysergic acid diethylamide | psilocybin | psilocin | DMT | 5-MeO-DMT | mescaline | DOI | 2C-B | NBOMe,5-HT2A | HTR2A | serotonin 2A receptor | 5-HT2B | HTR2B | 5-HT2C | HTR2C | 5-HT1A | HTR1A | serotonin receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,500
mechanistic_boolean_pubmed_002,mechanistic,pubmed,monoamine_transporters,primary_boolean,"(MDMA[Title/Abstract] OR MDA[Title/Abstract] OR ibogaine[Title/Abstract] OR noribogaine[Title/Abstract] OR amphetamine[Title/Abstract] OR psychedelic[Title/Abstract]) AND (SERT[Title/Abstract] OR SLC6A4[Title/Abstract] OR ""serotonin transporter""[Title/Abstract] OR DAT[Title/Abstract] OR SLC6A3[Title/Abstract] OR ""dopamine transporter""[Title/Abstract] OR NET[Title/Abstract] OR SLC6A2[Title/Abstract] OR ""norepinephrine transporter""[Title/Abstract] OR VMAT2[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR uptake[Title/Abstract] OR release[Title/Abstract] OR transporter[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR Ki[Title/Abstract])",,,MDMA | MDA | ibogaine | noribogaine | amphetamine | psychedelic,SERT | SLC6A4 | serotonin transporter | DAT | SLC6A3 | dopamine transporter | NET | SLC6A2 | norepinephrine transporter | VMAT2,binding | affinity | uptake | release | transporter | IC50 | EC50 | Ki,500
mechanistic_boolean_pubmed_003,mechanistic,pubmed,glutamate_nmda,primary_boolean,"(ketamine[Title/Abstract] OR esketamine[Title/Abstract] OR arketamine[Title/Abstract] OR ""R-ketamine""[Title/Abstract] OR ""S-ketamine""[Title/Abstract] OR psychedelic[Title/Abstract]) AND (""NMDA receptor""[Title/Abstract] OR NMDAR[Title/Abstract] OR ""AMPA receptor""[Title/Abstract] OR mGluR2[Title/Abstract] OR GRM2[Title/Abstract] OR ""glutamate receptor""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR antagonist[Title/Abstract] OR agonist[Title/Abstract] OR signaling[Title/Abstract] OR ""functional assay""[Title/Abstract] OR neuroplasticity[Title/Abstract])",,,ketamine | esketamine | arketamine | R-ketamine | S-ketamine | psychedelic,NMDA receptor | NMDAR | AMPA receptor | mGluR2 | GRM2 | glutamate receptor,binding | affinity | antagonist | agonist | signaling | functional assay | neuroplasticity,500
mechanistic_boolean_pubmed_004,mechanistic,pubmed,opioid_sigma_taar,primary_boolean,"(""salvinorin A""[Title/Abstract] OR ibogaine[Title/Abstract] OR noribogaine[Title/Abstract] OR DMT[Title/Abstract] OR ""5-MeO-DMT""[Title/Abstract] OR psychedelic[Title/Abstract]) AND (""kappa opioid receptor""[Title/Abstract] OR KOR[Title/Abstract] OR OPRK1[Title/Abstract] OR ""mu opioid receptor""[Title/Abstract] OR ""sigma-1 receptor""[Title/Abstract] OR SIGMAR1[Title/Abstract] OR TAAR1[Title/Abstract] OR ""trace amine-associated receptor 1""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR Ki[Title/Abstract] OR Kd[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR radioligand[Title/Abstract] OR ""functional assay""[Title/Abstract] OR agonist[Title/Abstract] OR antagonist[Title/Abstract] OR ""partial agonist""[Title/Abstract] OR signaling[Title/Abstract])",,,salvinorin A | ibogaine | noribogaine | DMT | 5-MeO-DMT | psychedelic,kappa opioid receptor | KOR | OPRK1 | mu opioid receptor | sigma-1 receptor | SIGMAR1 | TAAR1 | trace amine-associated receptor 1,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,500
mechanistic_boolean_pubmed_005,mechanistic,pubmed,plasticity_trkb_bdnf,primary_boolean,"(psychedelic[Title/Abstract] OR psychoplastogen[Title/Abstract] OR psilocybin[Title/Abstract] OR LSD[Title/Abstract] OR DMT[Title/Abstract] OR ketamine[Title/Abstract]) AND (TrkB[Title/Abstract] OR NTRK2[Title/Abstract] OR BDNF[Title/Abstract] OR neuroplasticity[Title/Abstract] OR ""dendritic spine""[Title/Abstract] OR ""cortical plasticity""[Title/Abstract]) AND (signaling[Title/Abstract] OR binding[Title/Abstract] OR phosphorylation[Title/Abstract] OR plasticity[Title/Abstract] OR neuritogenesis[Title/Abstract] OR dendritic[Title/Abstract] OR synaptic[Title/Abstract])",,,psychedelic | psychoplastogen | psilocybin | LSD | DMT | ketamine,TrkB | NTRK2 | BDNF | neuroplasticity | dendritic spine | cortical plasticity,signaling | binding | phosphorylation | plasticity | neuritogenesis | dendritic | synaptic,500
mechanistic_boolean_pubmed_006,mechanistic,pubmed,lsd_5ht2a,dense_topic,"(LSD[Title/Abstract] OR ""lysergic acid diethylamide""[Title/Abstract]) AND (""5-HT2A""[Title/Abstract] OR HTR2A[Title/Abstract] OR ""serotonin 2A receptor""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR Ki[Title/Abstract] OR Kd[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR radioligand[Title/Abstract] OR ""functional assay""[Title/Abstract] OR agonist[Title/Abstract] OR antagonist[Title/Abstract] OR ""partial agonist""[Title/Abstract] OR signaling[Title/Abstract] OR ""beta arrestin""[Title/Abstract] OR ""G protein""[Title/Abstract])",,,LSD | lysergic acid diethylamide,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling | beta arrestin | G protein,1000
mechanistic_boolean_pubmed_007,mechanistic,pubmed,psilocin_5ht2a,dense_topic,"(psilocin[Title/Abstract] OR psilocybin[Title/Abstract]) AND (""5-HT2A""[Title/Abstract] OR HTR2A[Title/Abstract] OR ""serotonin 2A receptor""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR Ki[Title/Abstract] OR Kd[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR radioligand[Title/Abstract] OR ""functional assay""[Title/Abstract] OR agonist[Title/Abstract] OR antagonist[Title/Abstract] OR ""partial agonist""[Title/Abstract] OR signaling[Title/Abstract])",,,psilocin | psilocybin,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
mechanistic_boolean_pubmed_008,mechanistic,pubmed,mdma_transporters,dense_topic,"(MDMA[Title/Abstract] OR ""3,4-methylenedioxymethamphetamine""[Title/Abstract] OR MDA[Title/Abstract]) AND (SERT[Title/Abstract] OR DAT[Title/Abstract] OR NET[Title/Abstract] OR SLC6A4[Title/Abstract] OR SLC6A3[Title/Abstract] OR SLC6A2[Title/Abstract] OR ""serotonin transporter""[Title/Abstract] OR ""dopamine transporter""[Title/Abstract] OR ""norepinephrine transporter""[Title/Abstract]) AND (transporter[Title/Abstract] OR uptake[Title/Abstract] OR release[Title/Abstract] OR binding[Title/Abstract] OR affinity[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract])",,,"MDMA | 3,4-methylenedioxymethamphetamine | MDA",SERT | DAT | NET | SLC6A4 | SLC6A3 | SLC6A2 | serotonin transporter | dopamine transporter | norepinephrine transporter,transporter | uptake | release | binding | affinity | IC50 | EC50,1000
mechanistic_boolean_pubmed_009,mechanistic,pubmed,ketamine_nmda,dense_topic,"(ketamine[Title/Abstract] OR esketamine[Title/Abstract] OR arketamine[Title/Abstract] OR ""S-ketamine""[Title/Abstract] OR ""R-ketamine""[Title/Abstract]) AND (""NMDA receptor""[Title/Abstract] OR NMDAR[Title/Abstract] OR ""glutamate receptor""[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR antagonist[Title/Abstract] OR ""channel blocker""[Title/Abstract] OR ""functional assay""[Title/Abstract])",,,ketamine | esketamine | arketamine | S-ketamine | R-ketamine,NMDA receptor | NMDAR | glutamate receptor,binding | affinity | antagonist | channel blocker | functional assay,1000
mechanistic_boolean_pubmed_010,mechanistic,pubmed,salvinorin_kor,dense_topic,"""salvinorin A""[Title/Abstract] AND (""kappa opioid receptor""[Title/Abstract] OR KOR[Title/Abstract] OR OPRK1[Title/Abstract]) AND (binding[Title/Abstract] OR affinity[Title/Abstract] OR Ki[Title/Abstract] OR Kd[Title/Abstract] OR IC50[Title/Abstract] OR EC50[Title/Abstract] OR radioligand[Title/Abstract] OR ""functional assay""[Title/Abstract] OR agonist[Title/Abstract] OR antagonist[Title/Abstract] OR ""partial agonist""[Title/Abstract] OR signaling[Title/Abstract])",,,salvinorin A,kappa opioid receptor | KOR | OPRK1,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
