claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,Ketamine,Emergence agitation,non-agitated,therapeutic_indication,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,Emergence agitation,indication,True,not_applicable,clinical_outcome,psychiatric_or_neurological,positive,Riker sedation-agitation scores,"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,post-operative,,,,not_reported,"On Riker sedation-agitation scores, ... group 2 was 175 times more likely to be non-agitated (175 (19.932-1536.448), p<0.001)",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Heart rate (HR),physiological_measure,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,none,none,False,"Physiological measure, not a primary disorder indication for the graph.",physiological_measure,cardiovascular,positive,Heart rate (HR),"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,intra-operative and post-operative till 24 hours,,,,not_reported,"Heart rate (HR) and Mean Arterial Blood Pressure (MABP) intra-operative and post-operative till 24 hours were significantly lower in groups 1, 2, and 3 compared to group 4 (p<0.001).",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Mean Arterial Blood Pressure (MABP),physiological_measure,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,none,none,False,"Physiological measure, not a primary disorder indication for the graph.",physiological_measure,cardiovascular,positive,Mean Arterial Blood Pressure (MABP),"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,intra-operative and post-operative till 24 hours,,,,not_reported,"Heart rate (HR) and Mean Arterial Blood Pressure (MABP) intra-operative and post-operative till 24 hours were significantly lower in groups 1, 2, and 3 compared to group 4 (p<0.001).",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Visual Analogue Scale measurements,symptom_or_problem,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,none,none,False,"Symptom/patient-reported outcome, not a primary disorder indication for the graph.",patient_reported_outcome,pain,positive,Visual Analogue Scale (VAS),"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,post-operative,,,,not_reported,"Visual Analogue Scale measurements were significantly less in the intervention groups 1, 2, and 3 compared to group 4.",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Nausea,safety_or_adverse_event,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,none,none,False,"Adverse event, not a primary disorder indication for the graph.",safety_outcome,gastrointestinal,positive,Incidence of nausea,"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,"C023, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,post-operative,,,,Nausea appeared in only one patient in each intervention group and 6 patients of the controls,"Nausea appeared in only one patient in each intervention group and 6 patients of the controls, significantly less than in group 4 (MCp= 0.033); however, the intergroup differences were not statistically significant.",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,Ketamine,not_applicable,Hemodynamic instability,safety_or_adverse_event,Post-traumatic stress disorder patients undergoing gynecological laparoscopic surgery,none,none,False,"Adverse event, not a primary disorder indication for the graph.",safety_outcome,cardiovascular,positive,Incidence of hemodynamic instability,"Adult women (18-45 years old) with a diagnosis of PTSD, ASA I or II, undergoing gynecological laparoscopy",clinical,10.1186/s12888-024-05525-5,,Effect of three modalities on emergence agitation among post-traumatic stress disorder patients undergoing laparoscopy: a randomized controlled study,Heba Ahmed Abdelaziz; Yomna E. Dean; Ahmed Mohamed Ahmed Elshafie,2024,BMC Psychiatry,journal-article,,2024-01-29,1471-244X,1471-244X,Springer Science and Business Media LLC,"Adult | Humans | Female | Adolescent | Young Adult | Middle Aged | Ketamine | Emergence Delirium / etiology | Emergence Delirium / prevention & control | Stress Disorders, Post-Traumatic / etiology | Pandemics | Laparoscopy",Anesthesia | Breathing | Emergence agitation | Ketamine | PTSD,,,,,,,eng,,primary_results,high,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,"C023, Results",randomized control trial,144,Control group,intra-operative Ketamine,0.5 mg/Kg,intravenous,single administration,post-operative,,,,"Hemodynamic instability occurred in 25.0%, 13.9%, and 19.4% in groups 1,2 and 3, respectively, significantly less than in group 4 (66.7%)","Hemodynamic instability occurred in 25.0%, 13.9%, and 19.4% in groups 1,2 and 3, respectively, significantly less than in group 4 (66.7%), p<0.001.",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,ketamine,acute pain,thermal nociceptive threshold,outcome_measure,not_applicable,acute pain,indication,True,not_applicable,efficacy,pain,positive,thermal nociceptive threshold,C57BL/6J female mice,preclinical,10.1016/j.curtheres.2021.100627,,Intranasal Ketamine for Acute Pain: Behavioral and Neurophysiological Safety Analysis in Mice.,Goswami N; Aleem M; Manda K,2021,"Current therapeutic research, clinical and experimental",Journal Article,,2021-03-11,0011-393X,,,,behavior | ketamine | neurophysiological safety | pain | phenotyping,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,C001,in_vivo,n = 7 per group,control (saline),intranasal ketamine (INK),"20 mg/kg, 5 mg/kg, and 1 mg/kg",intranasal,single administration,30 minutes post-administration,,,,not_reported,INK administration significantly augmented the thermal nociceptive threshold and alleviated the pain response in the tonic phase of the formalin test.,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,ketamine,acute pain,pain response in the tonic phase of the formalin test,outcome_measure,not_applicable,acute pain,indication,True,not_applicable,efficacy,pain,positive,time spent licking or biting the affected paw,C57BL/6J female mice,preclinical,10.1016/j.curtheres.2021.100627,,Intranasal Ketamine for Acute Pain: Behavioral and Neurophysiological Safety Analysis in Mice.,Goswami N; Aleem M; Manda K,2021,"Current therapeutic research, clinical and experimental",Journal Article,,2021-03-11,0011-393X,,,,behavior | ketamine | neurophysiological safety | pain | phenotyping,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,text,C011,in_vivo,n = 7 per group,saline administered mice,intranasal ketamine (INK),1 mg/kg,intranasal,single administration,tonic phase (15-20 minutes) of formalin test,,,,not_reported,INK (1 mg/kg) markedly inhibited the formalin-induced pain in the tonic phase as indicated by a significant decrease ( P < 0.05) in the time spent licking/biting. Results showed that the formalin-induced nociceptive response was nearly 4 times lesser in ketamine-treated mice.,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,ketamine,not_applicable,anxiety-like functions,outcome_measure,healthy mice,not_applicable,none,False,"Behavioral measure, not a direct therapeutic indication.",safety_tolerability,behavior,null,distance traveled in the center of open field,healthy mice,preclinical,10.1016/j.curtheres.2021.100627,,Intranasal Ketamine for Acute Pain: Behavioral and Neurophysiological Safety Analysis in Mice.,Goswami N; Aleem M; Manda K,2021,"Current therapeutic research, clinical and experimental",Journal Article,,2021-03-11,0011-393X,,,,behavior | ketamine | neurophysiological safety | pain | phenotyping,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,C001,in_vivo,n = 7 per group,control group,intranasal ketamine (INK),"20 mg/kg, 5 mg/kg, and 1 mg/kg",intranasal,single administration,30 minutes following drug administration,,,,not_reported,Behavioral safety analysis using the open field exploratory test revealed no significant effect of INK on anxiety-like functions in healthy mice.,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,ketamine,not_applicable,stereotypic movement,safety_or_adverse_event,healthy mice,not_applicable,none,False,"Behavioral measure, not a direct therapeutic indication.",safety_tolerability,behavior,negative,time spent in stereotypic movements,healthy mice,preclinical,10.1016/j.curtheres.2021.100627,,Intranasal Ketamine for Acute Pain: Behavioral and Neurophysiological Safety Analysis in Mice.,Goswami N; Aleem M; Manda K,2021,"Current therapeutic research, clinical and experimental",Journal Article,,2021-03-11,0011-393X,,,,behavior | ketamine | neurophysiological safety | pain | phenotyping,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,C001,in_vivo,n = 7 per group,control group,intranasal ketamine (INK),"20 mg/kg, 5 mg/kg, and 1 mg/kg",intranasal,single administration,30 minutes following drug administration,,,,significantly more stereotypic movement,"However, INK mice showed significantly more stereotypic movement but slower locomotor activities.",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
