doi,classification,relation_or_failure_subtype,confidence,requested_title,identity_status,identity_basis,document_doi,document_title,title_similarity_header,title_coverage_front,target_title_score_full_artifact,target_title_exact_in_artifact,target_doi_literal_in_artifact,best_backend,fulltext_source,artifact_path,artifact_pdf_path,artifact_pdf_exists,current_candidate_pdf_path,current_candidate_pdf_exists,manual_import_reports,local_correct_text_status,exact_doi_pmcid,direct_xml_availability,openalex_is_oa,openalex_pdf_url,openalex_landing_url,remote_correct_text_status,current_kg_finding_count,repair_method,availability_caveat
10.1002/anie.201910175,benign_conflict,publisher_language_alias,high,Injury‐Triggered Blueing Reactions of <i>Psilocybe</i> “Magic” Mushrooms,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1002/ange.201910175,"Injury-Triggered Blueing Reactions of Psilocybe ""Magic"" Mushrooms",1.0,1.0,1.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_anie_201910175.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_anie.201910175__2a4f701f1c.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_anie.201910175__2a4f701f1c.pdf,True,,correct_content_available_locally,PMC7004109,,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201910175,https://doi.org/10.1002/anie.201910175,exact_pmc_record_available_xml_needs_probe,3,Keep local text; add controlled publisher/language DOI alias and preserve both identifiers.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/bmc.716,benign_conflict,doi_parse_truncation_or_suffix,high,"A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label.",target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1002/bmc,"A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label",1.0,1.0,1.0,True,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_bmc_716.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_bmc.716__9b853d4794.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_bmc.716__9b853d4794.pdf,True,manual_pdf_import_report_after_pdf_viewer_toolbar_retry_20260619.json,correct_content_available_locally,,,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bmc.716,https://doi.org/10.1002/bmc.716,oa_pdf_signal_requires_identity_validation,3,Keep local text; correct TEI/GROBID DOI parsing and store the requested DOI as document identity; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/dta.2613,no_header_wrong_or_ancillary,ancillary_file_instead_of_main_article,high,Return of the lysergamides. Part V: Analytical and behavioural characterization of 1‐butanoyl‐<i>d</i>‐lysergic acid diethylamide (1B‐LSD),identity_unverified,insufficient document-level identifier or title evidence,,Supporting Information -Drug Testing and Analysis,0.2088,0.0909,0.1,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_dta_2613.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_dta.2613__690ef5eb60.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_dta.2613__690ef5eb60.pdf,True,,main_article_not_available_in_current_artifact,PMC6899222,,True,https://researchonline.ljmu.ac.uk/id/eprint/10652/7/1B-LSD_supporting_information.pdf,https://researchonline.ljmu.ac.uk/id/eprint/10652/7/1B-LSD_supporting_information.pdf,exact_pmc_record_available_xml_needs_probe,0,Quarantine ancillary file as non-main text. Fetch exact JATS or DOI/title-validated publisher article; retain supplement separately only as context; abstract fallback if unavailable.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/hup.1270,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,The effects of ‘ecstasy’ (MDMA) on visuospatial memory performance: findings from a systematic review with meta‐analyses,identity_unverified,insufficient document-level identifier or title evidence,,The effects of 'ecstasy' (MDMA) on visuospatial memory performance: findings from a systematic review with meta-analysis (Running head: Ecstasy and visuospatial memory: meta-analyses),0.7723,1.0,1.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_hup_1270.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_hup.1270__f66634b465.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_hup.1270__f66634b465.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/7854_2021_266,unresolved_non_pmc_artifact,document_identity_mismatch,high,Foundations for Training Psychedelic Therapists.,identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1016/j.eclinm.2020.100538,Psilocybin-assisted group therapy for demoralized older long-term AIDS survivor men: An open-label safety and feasibility pilot study,0.1436,0.75,0.75,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_7854_2021_266.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_7854_2021_266__aaa1f36a95.pdf,True,,False,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/7854_2024_531,unresolved_non_pmc_artifact,document_identity_mismatch,high,Epistemic Risk Reduction in Psychedelic-Assisted Therapy,identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.2174/1573413713666170619092629,Dreams and Psychedelics: Neurophenomenological Comparison and Therapeutic Implications,0.3662,0.2,0.6,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_7854_2024_531.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_7854_2024_531__bc7a03f1cc.pdf,True,,False,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/7854_2025_606,unresolved_non_pmc_artifact,document_identity_mismatch,high,Psychedelic Drug Checking: Analytical and Strategic Challenges in Harm Reduction for Classic Psychedelics.,identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1002/dta.3281,"Analytical profile, in vitro metabolism and behavioral properties of the lysergamide 1P-AL-LAD",0.28,0.4,0.6,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_7854_2025_606.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_7854_2025_606__6067acc17a.pdf,True,,False,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/978-1-59259-158-9_1,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,Regulation of Monoamine Transporters,identity_unverified,insufficient document-level identifier or title evidence,,Regulation of Monoamine Transporters,0.5333,1.0,1.0,True,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_978_1_59259_158_9_1.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_978-1-59259-158-9_1__9abc763e6d.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/pdfs/10.1007_978-1-59259-158-9_1__9abc763e6d.pdf,False,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/bf03016530,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,Systemic ketamine inhibits hypersensitivity after surgery via descending inhibitory pathways in rats,identity_unverified,insufficient document-level identifier or title evidence,,,,1.0,1.0,True,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_bf03016530.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1007_bf03016530__717f5b7c78.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_bf03016530__717f5b7c78.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/s002130050856,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Differential effects of ketamine on gating of auditory evoked potentials and prepulse inhibition in rats,identity_unverified,insufficient document-level identifier or title evidence,,TRADUCIR LOS DAÑOS SIN EFECTOS COLATERALES: ANÁLISIS COMPARADO DEL DERECHO DE DAÑOS Translating damages without collateral effects: a comparative analysis of damages,0.2007,0.0,0.1111,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s002130050856.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s002130050856__27f8db93dc.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s002130050856__27f8db93dc.pdf,True,,main_article_not_available_in_current_artifact,,,True,,https://ddd.uab.cat/pub/artpub/2009/114421/hermeneus_a2009n11p81.pdf,oa_landing_signal_requires_identity_validation,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
