claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,source_access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,ibogaine,substance use disorders,substance use disorders,therapeutic_indication,,substance use disorders,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.12775/qs.2026.54.69942,,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,Quality in Sport,journal-article,,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,,,,,,,,,Our study aims to evaluate the efficacy and safety of ibogaine in the treatment of substance use disorders and to determine its therapeutic potential.,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,ibogaine,opioid dependence,opioid dependence,therapeutic_indication,,opioid dependence,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.12775/qs.2026.54.69942,,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,Quality in Sport,journal-article,,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,,,,,,,,,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,ibogaine,cocaine dependence,cocaine dependence,therapeutic_indication,,cocaine dependence,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.12775/qs.2026.54.69942,,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,Quality in Sport,journal-article,,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,,,,,,,,,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,ibogaine,alcohol dependence,alcohol dependence,therapeutic_indication,,alcohol dependence,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.12775/qs.2026.54.69942,,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,Quality in Sport,journal-article,,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,,,,,,,,,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,ibogaine,withdrawal symptoms and cravings,withdrawal symptoms and cravings,therapeutic_indication,,withdrawal symptoms and cravings,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.12775/qs.2026.54.69942,,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,Quality in Sport,journal-article,,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,,,,,,,,,"Ibogaine, a naturally occurring indole alkaloid derived from Tabernanthe iboga, has attracted increasing scientific interest due to its reported ability to reduce withdrawal symptoms and cravings.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,psychedelics,Treatment-Resistant Depression,Treatment-Resistant Depression,therapeutic_indication,,Treatment-Resistant Depression,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.53941/cna.2025.100006,,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,Clinical Neuropsychopharmacology and Addiction,journal-article,,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,,,,,,,,,en,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,abstract,C001,narrative review,,,,,,,,,,,,"Emerging therapeutic strategies, particularly glutamatergic modulators and psychedelics, have shown promising results in managing TRD.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,ketamine,depressive symptoms,depressive symptoms,therapeutic_indication,,depressive symptoms,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.53941/cna.2025.100006,,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,Clinical Neuropsychopharmacology and Addiction,journal-article,,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,,,,,,,,,en,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,abstract,C001,narrative review,,,,,,,,,,,,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,esketamine,depressive symptoms,depressive symptoms,therapeutic_indication,,depressive symptoms,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.53941/cna.2025.100006,,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,Clinical Neuropsychopharmacology and Addiction,journal-article,,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,,,,,,,,,en,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,abstract,C001,narrative review,,,,,,,,,,,,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,psilocybin,Treatment-Resistant Depression,Treatment-Resistant Depression,therapeutic_indication,,Treatment-Resistant Depression,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.53941/cna.2025.100006,,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,Clinical Neuropsychopharmacology and Addiction,journal-article,,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,,,,,,,,,en,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,secondary_summary,full_text_seen,abstract,C001,narrative review,,,,,,,,,,,,"We conducted a narrative review using PubMed and Scopus with the query ""(treatment resistant depression OR TRD) AND (glutamatergic OR glutamate OR psychedelic OR psilocybin OR antipsychotic augmentation) NOT (review OR animal OR mouse).""",,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence"
compound_disorder,psilocybin,addiction,addiction,therapeutic_indication,,addiction,indication,True,,secondary literature coverage,,unclear,,,,unknown,10.59324/ejahss.2024.1(3).10,,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,"European Journal of Arts, Humanities and Social Sciences",journal-article,,2024-05-01,3041-1262,3041-1262,AMO Publisher,,,,,,,,,,,review,low,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,,,,,,,,,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Addiction,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence"
