seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_00165,disorder,entity_broad,psychedelic Treatment-resistant depression clinical trial treatment,,Treatment-resistant depression,indication,psychedelic {entity} clinical trial treatment
disorder_00166,disorder,entity_broad,psilocybin LSD MDMA ketamine Treatment-resistant depression therapy,,Treatment-resistant depression,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00167,disorder,entity_broad,Treatment-resistant depression psychedelic-assisted therapy outcome safety,,Treatment-resistant depression,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00168,disorder,entity_broad,psychedelic Major depressive disorder clinical trial treatment,,Major depressive disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00169,disorder,entity_broad,psilocybin LSD MDMA ketamine Major depressive disorder therapy,,Major depressive disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00170,disorder,entity_broad,Major depressive disorder psychedelic-assisted therapy outcome safety,,Major depressive disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00171,disorder,entity_broad,psychedelic Bipolar depression clinical trial treatment,,Bipolar depression,indication,psychedelic {entity} clinical trial treatment
disorder_00172,disorder,entity_broad,psilocybin LSD MDMA ketamine Bipolar depression therapy,,Bipolar depression,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00173,disorder,entity_broad,Bipolar depression psychedelic-assisted therapy outcome safety,,Bipolar depression,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00174,disorder,entity_broad,psychedelic Persistent depressive disorder clinical trial treatment,,Persistent depressive disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00175,disorder,entity_broad,psilocybin LSD MDMA ketamine Persistent depressive disorder therapy,,Persistent depressive disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00176,disorder,entity_broad,Persistent depressive disorder psychedelic-assisted therapy outcome safety,,Persistent depressive disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00177,disorder,entity_broad,psychedelic Post-traumatic stress disorder clinical trial treatment,,Post-traumatic stress disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00178,disorder,entity_broad,psilocybin LSD MDMA ketamine Post-traumatic stress disorder therapy,,Post-traumatic stress disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00179,disorder,entity_broad,Post-traumatic stress disorder psychedelic-assisted therapy outcome safety,,Post-traumatic stress disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00180,disorder,entity_broad,psychedelic Complex post-traumatic stress disorder clinical trial treatment,,Complex post-traumatic stress disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00181,disorder,entity_broad,psilocybin LSD MDMA ketamine Complex post-traumatic stress disorder therapy,,Complex post-traumatic stress disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00182,disorder,entity_broad,Complex post-traumatic stress disorder psychedelic-assisted therapy outcome safety,,Complex post-traumatic stress disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00183,disorder,entity_broad,psychedelic Alcohol use disorder clinical trial treatment,,Alcohol use disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00184,disorder,entity_broad,psilocybin LSD MDMA ketamine Alcohol use disorder therapy,,Alcohol use disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00185,disorder,entity_broad,Alcohol use disorder psychedelic-assisted therapy outcome safety,,Alcohol use disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00186,disorder,entity_broad,psychedelic Tobacco use disorder clinical trial treatment,,Tobacco use disorder,indication,psychedelic {entity} clinical trial treatment
disorder_00187,disorder,entity_broad,psilocybin LSD MDMA ketamine Tobacco use disorder therapy,,Tobacco use disorder,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00188,disorder,entity_broad,Tobacco use disorder psychedelic-assisted therapy outcome safety,,Tobacco use disorder,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00189,disorder,entity_broad,psychedelic Nicotine dependence clinical trial treatment,,Nicotine dependence,indication,psychedelic {entity} clinical trial treatment
disorder_00190,disorder,entity_broad,psilocybin LSD MDMA ketamine Nicotine dependence therapy,,Nicotine dependence,indication,psilocybin LSD MDMA ketamine {entity} therapy
disorder_00191,disorder,entity_broad,Nicotine dependence psychedelic-assisted therapy outcome safety,,Nicotine dependence,indication,{entity} psychedelic-assisted therapy outcome safety
disorder_00192,disorder,entity_broad,psychedelic Opioid use disorder clinical trial treatment,,Opioid use disorder,indication,psychedelic {entity} clinical trial treatment
