dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
disorder,3373,10.1001/archgenpsychiatry.2011.1503,Use and Abuse of Alcohol and Illicit Drugs in US Adolescents,2012,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3379,10.1001/archpsyc.58.8.721,Psychiatric Disorders and Drug Use Among Human Immunodeficiency Virus–Infected Adults in the United States,2001,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,3478,10.1001/jamanetworkopen.2018.0382,Substance Use Among American Indian Youths on Reservations Compared With a National Sample of US Adolescents,2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3481,10.1001/jamanetworkopen.2019.21513,Prevalence of Electronic Cigarette Dependence Among Youth and Its Association With Future Use,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,3500,10.1001/jamanetworkopen.2023.52844,Ketamine Compared With Morphine for Out-of-Hospital Analgesia for Patients With Traumatic Pain,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3513,10.1001/jamanetworkopen.2024.45278,Oxytocin and the Role of Fluid Restriction in MDMA-Induced Hyponatremia,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3540,10.1001/jamanetworkopen.2026.11029,Psilocybin in the Treatment of Cocaine Use Disorder,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3554,10.1001/jamaneurol.2023.5173,Psychedelics in Addiction Treatment—Navigating a Sociopolitical Rift,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3581,10.1001/jamapediatrics.2018.4582,Effect of Intranasal Ketamine vs Fentanyl on Pain Reduction for Extremity Injuries in Children,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3590,10.1001/jamapsychiatry.2013.399,RETRACTED: Association of Posttraumatic Stress Disorder With Reduced In Vivo Norepinephrine Transporter Availability in the Locus Coeruleus,2013,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,3591,10.1001/jamapsychiatry.2014.62,Efficacy of Intravenous Ketamine for Treatment of Chronic Posttraumatic Stress Disorder,2014,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3594,10.1001/jamapsychiatry.2015.2132,Epidemiology of<i>DSM-5</i>Drug Use Disorder,2015,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3603,10.1001/jamapsychiatry.2018.0335,Association of Cannabis With Cognitive Functioning in Adolescents and Young Adults,2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3802,10.1002/14651858.cd009269.pub2,Psychosocial interventions to reduce alcohol consumption in concurrent problem alcohol and illicit drug users,2012,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3803,10.1002/14651858.cd009269.pub3,Psychosocial interventions to reduce alcohol consumption in concurrent problem alcohol and illicit drug users,2014,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3804,10.1002/14651858.cd009491.pub2,Midazolam for sedation before procedures,2016,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3838,10.1002/1873-3468.15042,"Substrate recognition by the 4‐hydroxytryptamine kinase
                    <scp>PsiK in</scp>
                    psilocybin biosynthesis",2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3900,10.1002/bcp.70579,Exploring new avenues: Psychedelic‐assisted therapy for young people,2026,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3907,10.1002/brb3.1715,"Intraoperative ketamine for reduction in postpartum depressive symptoms after cesarean delivery: A double‐blind, randomized clinical trial",2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3917,10.1002/brb3.70338,Sugar Addiction: Neural Mechanisms and Health Implications,2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3935,10.1002/ccr3.3869,A longitudinal case series of IM ketamine for patients with severe and enduring eating disorders and comorbid treatment‐resistant depression,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3937,10.1002/chem.202303985,Total Synthesis of Ervaoffine J and K,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,3983,10.1002/cpt.2166,PharmVar GeneFocus: <i>CYP2B6</i>,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3988,10.1002/cpt.3726,"Absolute Oral Bioavailability and Bioequivalence of <scp>LSD</scp> Base and Tartrate in a Double‐Blind, Placebo‐Controlled, Crossover Study",2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3989,10.1002/cpt.575,Designer Drugs 2.0,2017,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,3992,10.1002/cpz1.698,The Role of Nonhuman Primates in Neurotoxicology Research: Preclinical Models and Experimental Methods,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
