normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,mesh_terms,keywords,language,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,publisher,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,semantic_scholar_id
normalized,compound and graph entity matched local registry,LSD,5-HT2A receptor,,LSD,5-HT2A,,,,,β-arrestin2 recruitment,molecular_target,5-HT2A receptor,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,12.3,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,LSD 99.4 (92.5-106) 7.91 (7.70-8.12) 12.3 (7.56-20.0),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,mechanistic,targets,label,target_variant,LSD,5-HT2A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,
compound_unmapped,compound `Serotonin` did not match registry,Serotonin,5-HT2A receptor,,,5-HT2A,,,,,miniGαq recruitment,molecular_target,5-HT2A receptor,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,miniGαq recruitment assay,functional complementation assay,agonist,EC50,88.1,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,5-HT 207 (196-219) 7.06 (6.90-7.21) 88.1 (61.4-125),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,Serotonin,5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,
compound_unmapped,compound `25N-NBOH (2e)` did not match registry,25N-NBOH (2e),5-HT2A receptor,,,5-HT2A,,,,,β-arrestin2 recruitment,molecular_target,5-HT2A receptor,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,0.662,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,25N-NBOH (2e) 189 (169-210) 9.18 (8.91-9.46) 0.662 (0.35-1.23),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,25N-NBOH (2e),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,
compound_unmapped,compound `25N-NBMD (2h)` did not match registry,25N-NBMD (2h),5-HT2A receptor,,,5-HT2A,,,,,β-arrestin2 recruitment,molecular_target,5-HT2A receptor,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,β-arrestin2 recruitment assay,functional complementation assay,agonist,EC50,1.94,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,25N-NBMD (2h) 124 (110-137) 8.71 (8.48-8.94) 1.94 (1.16-3.31),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,25N-NBMD (2h),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,
compound_unmapped,compound `2C-T-7 (1f)` did not match registry,2C-T-7 (1f),5-HT2A receptor,,,5-HT2A,,,,,miniGαq recruitment,molecular_target,5-HT2A receptor,target,True,10.1021/acschemneuro.3c00267,Structure-Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT(2A) Receptor Agonists.,compound_target,not_reported,not_reported,agonist,miniGαq recruitment assay,functional complementation assay,agonist,EC50,37.1,nM,not_applicable,human,HEK293T cells,in_vitro,Pottie E; Poulie CBM; Simon IA; Harpsøe K; D'Andrea L; Komarov IV; Gloriam DE; Jensen AA; Kristensen JL; Stove CP,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,2C-T-7 (1f) 121 (112-131) 7.43 (7.20-7.67) 37.1 (21.3-63.2),full_text_seen,table,Table 1,in vitro pharmacology study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,ACS chemical neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",2023-07-20,1948-7193,1948-7193,"Serotonin | Receptor, Serotonin, 5-HT2A | Molecular Docking Simulation | Hallucinogens / pharmacology | Hallucinogens / chemistry | Phenethylamines / pharmacology | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A | biased agonism | in vitro pharmacology | miniGαq | psychedelics | β-arrestin,eng,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,2C-T-7 (1f),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,,,
normalized,compound and graph entity matched local registry,Ketamine,N-methyl-D-aspartate receptor,,Ketamine,NMDA receptor,,,,,N-methyl-D-aspartate receptor,molecular_target,NMDA receptor,target,True,10.1038/s41398-018-0321-5,Ketamine and selective activation of parvalbumin interneurons inhibit stress-induced dendritic spine elimination,compound_target,not_applicable,not_reported,antagonist,,,antagonist,,,,not_applicable,not_reported,not_reported,not_applicable,Lhotse Hei Lui Ng; Yuhua Huang; Lei Han; Raymond Chuen-Chung Chang; Ying Shing Chan; Cora Sau Wan Lai,2018,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The N-methyl-D-aspartate receptor antagonist ketamine inhibited stress-induced spine loss mainly by protecting mushroom spines from elimination.,full_text_seen,abstract,Abstract,not_reported,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Translational Psychiatry,journal-article,2018-12-10,2158-3188,2158-3188,"Animals | Dendritic Spines / drug effects | Dendritic Spines / physiology | Excitatory Amino Acid Antagonists / administration & dosage | Female | Frontal Lobe / drug effects | Frontal Lobe / physiopathology | Interneurons / drug effects | Interneurons / metabolism | Interneurons / physiology | Ketamine / administration & dosage | Male | Mice, Inbred C57BL | Neuronal Plasticity / drug effects | Parvalbumins / metabolism | Restraint, Physical | Stress, Psychological / physiopathology",,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,label,Ketamine,NMDA receptor,needs_external_id_lookup,complex_target_needs_subunit_mapping,{},{},NMDA receptor,1.0,Springer Science and Business Media LLC,not_reported,,,,,
compound_unmapped,compound `25N-N1-Nap (16)` did not match registry,25N-N1-Nap (16),5-HT2A receptor,,,5-HT2A,,,,,"5-HT 2A R Gq-efficacy, 5-HT 2A R β-arrestin2-efficacy",molecular_target,5-HT2A receptor,target,True,10.1038/s41467-023-44016-1,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,compound_target,not_applicable,not_applicable,β-arrestin-biased agonist,"Gq dissociation BRET assay, β-arrestin2 recruitment BRET assay",,β-arrestin-biased agonist,Other,"reduced Gq-efficacy, preserved β-arrestin2-efficacy",,not_applicable,human,HEK293T cells,in_vitro,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Strikingly, 25N-N1-Nap (16) and 25N-NBPh (17) showed a substantial reduction in 5-HT 2A R Gq-efficacy yet preserved 5-HT 2A R β-arrestin2-efficacy, thus exhibiting β-arrestin-biased agonism at 5-HT 2A R compared to the balanced agonist 25N-NBOMe (4) (Fig. 3A ; Supplementary Table 13 ).",full_text_seen,text,Chunk C006,experimental,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Nature Communications,journal-article,2023-12-15,2041-1723,2041-1723,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,25N-N1-Nap (16),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,Springer Science and Business Media LLC,,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,
compound_unmapped,compound `25N-N1-Nap (16)` did not match registry,25N-N1-Nap (16),5-HT2A receptor,,,5-HT2A,,,,,5-HT 2A R internalization,molecular_target,5-HT2A receptor,target,True,10.1038/s41467-023-44016-1,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,compound_target,not_applicable,not_applicable,induce internalization,NanoBit Internalization Assay,,induce internalization,Other,robust internalization,,not_applicable,human,HEK293T cells,in_vitro,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"25N-N1-Nap (16) and 25N-NBPh (17) also induced robust internalization, similar to their potencies in β-arrestin2 recruitment assays (Fig. 8B ).",full_text_seen,text,Chunk C013,experimental,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Nature Communications,journal-article,2023-12-15,2041-1723,2041-1723,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,25N-N1-Nap (16),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,Springer Science and Business Media LLC,,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,
compound_unmapped,compound `25N-NB-2-OH-3-Me (18)` did not match registry,25N-NB-2-OH-3-Me (18),5-HT2A receptor Gq signaling,,,,,,,,"5-HT 2A R Gq-efficacy, 5-HT 2A R-β-arrestin2 efficacy",molecular_target,5-HT2A receptor Gq signaling,target,True,10.1038/s41467-023-44016-1,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,compound_target,not_applicable,not_applicable,reduced efficacy,"Gq dissociation BRET assay, β-arrestin2 recruitment BRET assay",,reduced efficacy,Other,selective reduction in Gq-efficacy,,not_applicable,human,HEK293T cells,in_vitro,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"25N-NB-2-OH-3-Me (18) showed a selective reduction in 5-HT 2A R Gq-efficacy but not 5-HT 2A R-β-arrestin2 efficacy compared to 25N-NBOH (3) (Fig. 2E ), which lacks 3-methyl substitution, providing a critical clue that steric effects in the 3-position influence 5-HT 2A R biased-agonist activity.",full_text_seen,text,Chunk C004,experimental,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Nature Communications,journal-article,2023-12-15,2041-1723,2041-1723,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,25N-NB-2-OH-3-Me (18),5-HT2A receptor Gq signaling,,,{},{},,0.0,Springer Science and Business Media LLC,,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,
compound_unmapped,compound `25N-NBI (10)` did not match registry,25N-NBI (10),5-HT2A receptor,,,5-HT2A,,,,,5-HT 2A R selectivity,molecular_target,5-HT2A receptor,target,True,10.1038/s41467-023-44016-1,Identification of 5-HT2A receptor signaling pathways associated with psychedelic potential,compound_target,not_applicable,not_applicable,selective agonist,"Gq dissociation BRET assay, calcium flux assay, competitive binding studies",,selective agonist,Other,23-fold selectivity for 5-HT 2A R over 5-HT 2C R,fold,not_applicable,human,HEK293T cells,in_vitro,Jason Wallach; Andrew B. Cao; Maggie M. Calkins; Andrew J. Heim; Janelle K. Lanham; Emma M. Bonniwell; Joseph J. Hennessey; Hailey A. Bock; Emilie I. Anderson; Alexander M. Sherwood,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"We compared 25N-NBI (10), the most selective 5-HT 2A R agonist from this series, to the purported 5-HT 2A R-selective agonist 25CN-NBOH 29 and determined 25N-NBI (10) showed 23-fold selectivity for 5-HT 2A R over 5-HT 2C R, whereas 25CN-NBOH shows only 7-fold selectivity (Fig. 2D ). We confirmed the superior 5-HT 2A R selectivity of 25N-NBI (10) using an orthogonal assay measuring Gqmediated calcium flux (Supplementary Fig. 4B ; Supplementary Table 7 ), confirming in two functional assays that 25N-NBI (10) has greater 5-HT 2A R selectivity than 25CN-NBOH. 25N-NBI (10) also showed selectivity for 5-HT 2A R over 5-HT 2B R and 5-HT 2C R in competitive binding studies (Supplementary Table 8 ).",full_text_seen,text,Chunk C004,experimental,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Nature Communications,journal-article,2023-12-15,2041-1723,2041-1723,"Male | Animals | Mice | Hallucinogens / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin | Signal Transduction | beta-Arrestins | Ligands",,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,25N-NBI (10),5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,Springer Science and Business Media LLC,,NIDA NIH HHS | NIGMS NIH HHS,R01 DA041336 | R35 GM133421,10.1101/2023.07.29.551106,UpdateOf PMID:37577474 bioRxiv. 2023 Jul 31:2023.07.29.551106. doi: 10.1101/2023.07.29.551106.,
