seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_00001,disorder,sentinel_default,psilocybin treatment-resistant depression randomized trial,Psilocybin,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00002,disorder,sentinel_default,psilocybin major depressive disorder randomized trial,Psilocybin,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00003,disorder,sentinel_default,ayahuasca major depressive disorder trial,Ayahuasca,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00004,disorder,sentinel_default,ayahuasca social anxiety disorder randomized trial,Ayahuasca,Social anxiety disorder,indication,DEFAULT_SEEDS
disorder_00005,disorder,sentinel_default,ayahuasca obsessive-compulsive disorder trial,Ayahuasca,Obsessive-compulsive disorder,indication,DEFAULT_SEEDS
disorder_00006,disorder,sentinel_default,ayahuasca generalized anxiety disorder trial,Ayahuasca,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00007,disorder,sentinel_default,ketamine treatment-resistant depression trial,Ketamine,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00008,disorder,sentinel_default,ketamine bipolar depression randomized trial,Ketamine,Bipolar depression,indication,DEFAULT_SEEDS
disorder_00009,disorder,sentinel_default,esketamine treatment-resistant depression phase 3,S-ketamine,Treatment-resistant depression,indication,DEFAULT_SEEDS
disorder_00010,disorder,sentinel_default,ketamine suicidal ideation randomized trial,Ketamine,Suicidal ideation,indication,DEFAULT_SEEDS
disorder_00011,disorder,sentinel_default,MDMA post-traumatic stress disorder randomized trial,MDMA,Post-traumatic stress disorder,indication,DEFAULT_SEEDS
disorder_00012,disorder,sentinel_default,LSD anxiety life-threatening disease trial,LSD,distress associated with life-threatening disease,indication,DEFAULT_SEEDS
disorder_00013,disorder,sentinel_default,LSD major depressive disorder randomized trial,LSD,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00014,disorder,sentinel_default,LSD generalized anxiety disorder randomized trial,LSD,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00015,disorder,sentinel_default,LSD alcohol use disorder trial,LSD,Alcohol use disorder,indication,DEFAULT_SEEDS
disorder_00016,disorder,sentinel_default,psilocybin cancer anxiety depression trial,Psilocybin,distress associated with life-threatening disease,indication,DEFAULT_SEEDS
disorder_00017,disorder,sentinel_default,psilocybin generalized anxiety disorder trial,Psilocybin,Generalized anxiety disorder,indication,DEFAULT_SEEDS
disorder_00018,disorder,sentinel_default,psilocybin bipolar depression trial,Psilocybin,Bipolar depression,indication,DEFAULT_SEEDS
disorder_00019,disorder,sentinel_default,mescaline major depressive disorder clinical trial,Mescaline,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00020,disorder,sentinel_default,5-MeO-DMT major depressive disorder clinical trial,5-MeO-DMT,Major depressive disorder,indication,DEFAULT_SEEDS
disorder_00021,disorder,sentinel_default,MDMA autism spectrum disorder social anxiety trial,MDMA,Autism spectrum disorder,indication,DEFAULT_SEEDS
disorder_00022,disorder,sentinel_default,psilocybin obsessive-compulsive disorder trial,Psilocybin,Obsessive-compulsive disorder,indication,DEFAULT_SEEDS
disorder_00023,disorder,sentinel_default,psilocybin anorexia nervosa trial,Psilocybin,Anorexia nervosa,indication,DEFAULT_SEEDS
disorder_00024,disorder,sentinel_default,psilocybin eating disorders trial,Psilocybin,Eating disorders,indication,DEFAULT_SEEDS
disorder_00025,disorder,sentinel_default,psilocybin bulimia nervosa trial,Psilocybin,Bulimia nervosa,indication,DEFAULT_SEEDS
disorder_00026,disorder,sentinel_default,psilocybin binge eating disorder trial,Psilocybin,Binge-eating disorder,indication,DEFAULT_SEEDS
disorder_00027,disorder,sentinel_default,psilocybin alcohol use disorder randomized trial,Psilocybin,Alcohol use disorder,indication,DEFAULT_SEEDS
disorder_00028,disorder,sentinel_default,psilocybin tobacco use disorder trial,Psilocybin,Tobacco use disorder,indication,DEFAULT_SEEDS
disorder_00029,disorder,sentinel_default,ibogaine opioid use disorder trial,Ibogaine,Opioid use disorder,indication,DEFAULT_SEEDS
disorder_00030,disorder,sentinel_default,ketamine alcohol use disorder trial,Ketamine,Alcohol use disorder,indication,DEFAULT_SEEDS
disorder_00031,disorder,sentinel_default,psilocybin cocaine use disorder trial,Psilocybin,Cocaine use disorder,indication,DEFAULT_SEEDS
disorder_00032,disorder,sentinel_default,psilocybin methamphetamine use disorder trial,Psilocybin,Methamphetamine use disorder,indication,DEFAULT_SEEDS
disorder_00033,disorder,sentinel_default,psilocybin substance use disorder trial,Psilocybin,Substance use disorder,indication,DEFAULT_SEEDS
disorder_00034,disorder,sentinel_default,psilocybin end-of-life anxiety trial,Psilocybin,distress associated with life-threatening disease,indication,DEFAULT_SEEDS
disorder_00035,disorder,sentinel_default,LSD cluster headache trial,LSD,Cluster headache,indication,DEFAULT_SEEDS
disorder_00036,disorder,sentinel_default,psilocybin cluster headache trial,Psilocybin,Cluster headache,indication,DEFAULT_SEEDS
disorder_00037,disorder,sentinel_default,psychedelic headache disorders migraine trial,,Headache disorders,indication,DEFAULT_SEEDS
disorder_00038,disorder,sentinel_default,psilocybin migraine headache trial,Psilocybin,Migraine,indication,DEFAULT_SEEDS
disorder_00039,disorder,sentinel_default,ketamine chronic pain trial,Ketamine,Chronic pain,indication,DEFAULT_SEEDS
disorder_00040,disorder,sentinel_default,ketamine fibromyalgia randomized trial,Ketamine,Fibromyalgia,indication,DEFAULT_SEEDS
disorder_00041,disorder,sentinel_default,psilocybin fibromyalgia clinical trial,Psilocybin,Fibromyalgia,indication,DEFAULT_SEEDS
