finding_id,study_doi,compound,entity_label,domain,evidence_type,entity_role,support,outcome_measure,population,study_design,graph_admission_status,kg_entity_kind_override,paper_type,endpoint_label_source,graph_overview_subjects_json,graph_parent_label,proposition_group_id,assessment,matching_edge_in_active_bootstrap,category,proposed_destination,rationale,assessment_basis,rules
finding:c42b580e8b68d74041,10.1016/j.neuroimage.2011.06.045,S-ketamine,Schizophrenia,clinical_outcome,primary_evidence,,"Ketamine effects were observed in the clinical domain as measured by the Positive and Negative Syndrome Scale (PANSS), indicating the induction of schizophrenia-like psychopathological symptoms.",Positive and Negative Syndrome Scale (PANSS),Healthy male volunteers (schizophrenia model),"Within-subject, randomized, placebo-controlled crossover study",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:e9982af4cce6988ffa,high_confidence_semantic_misclassification,True,disease_model_in_conditions,Cognition / psychotomimetic effects; Safety for exacerbation in patients,"The compound is used to produce or investigate schizophrenia-like symptoms, not treat schizophrenia.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:76595ef6af2f4c9bf1,10.1038/s44220-024-00331-0,Psilocybin,Distress associated with life-threatening disease,clinical_outcome,primary_evidence,,"PAP did not induce any lasting paranoia, phobia, or psychosis.","Brief Symptom Inventory (BSI) - Paranoia, Phobia, Psychosis dimensions",patients with cancer-related psychiatric distress,pooled analysis of two phase II randomized placebo-controlled crossover trials,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:63ce9e7edc438c4209,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:f1778142fb09de380e,10.1186/s13722-024-00494-2,Ketamine,Opioid use disorder,clinical_outcome,primary_evidence,,Most patients reported reduction or elimination of spontaneous opioid withdrawal symptoms and avoidance of severe precipitated withdrawal when used prophylactically.,Self-reported withdrawal symptoms,Patients with opioid use disorder experiencing spontaneous or precipitated withdrawal,Pilot case series,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:c72ea0d865469a2842,not_confirmed_by_this_audit,True,,,,,
finding:e009a63b66dbbd1979,10.1080/02791072.2021.2006372,MDMA,Obsessive-compulsive disorder,clinical_outcome,primary_evidence,,"Following recreational ecstasy use during a stressful period, the patient developed complex DDS, recurrence of obsessive thoughts, and his first panic attack.",Clinical observation and psychiatric assessment,24-year-old male student with a history of obsessive-compulsive disorder (OCD),Case study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""controlled_atomic_compound""}]",,proposition:5897fd1f6eae4674dd,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:e345994495ea73e1df,10.1016/0893-133x(94)00131-i,Ketamine,Schizophrenia,clinical_outcome,primary_evidence,,Haloperidol failed to block ketamine-induced psychosis when comparing neuroleptic-free patients to their haloperidol-treated state.,BPRS (implied),Schizophrenia (neuroleptic-free for 4 weeks),"Double-blind, placebo-controlled trial (retest design)",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:bb15a4bde539b85f5b,high_confidence_semantic_misclassification,True,disease_model_in_conditions,Cognition / psychotomimetic effects; Safety for exacerbation in patients,"The compound is used to produce or investigate schizophrenia-like symptoms, not treat schizophrenia.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:43c45c5550aa2c7c71,10.4088/jcp.13m08698,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"At Day 7, antidepressant effects were maintained; family history of alcohol use disorder and no prior history of suicide attempts were significant predictors of durable response.",17-item Hamilton Depression Rating Scale (HDRS),Treatment-resistant major depressive disorder (MDD) or bipolar I/II depression,Combined post-hoc analysis of clinical trials (including randomized cross-over and open-label),main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3aa55ee18f2e5e7afd,not_confirmed_by_this_audit,True,,,,,
finding:a7e3e6c2b514b810c5,10.4088/jcp.13m08698,Ketamine,Bipolar depression,clinical_outcome,primary_evidence,,"At Day 7, antidepressant effects were maintained; family history of alcohol use disorder and no prior history of suicide attempts were significant predictors of durable response.",17-item Hamilton Depression Rating Scale (HDRS),Treatment-resistant major depressive disorder (MDD) or bipolar I/II depression,Combined post-hoc analysis of clinical trials (including randomized cross-over and open-label),main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:fd29e7da825e50ff68,not_confirmed_by_this_audit,True,,,,,
finding:4bce131ca16b8b8e5c,10.3389/fpsyt.2021.608499,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,The presence of at least one childhood sexual abuse (CSA) event was not a statistically significant predictor of the trajectory of depression symptom reduction following esketamine treatment.,Montgomery-Åsberg Depression Rating Scale (MADRS),Treatment-resistant depression (TRD) outpatients (unipolar and bipolar),Observational study using latent growth modeling,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:7c86288f0c50927d9c,not_confirmed_by_this_audit,True,,,,,
finding:80d3838cd6afd8623d,10.1016/j.euroneuro.2025.07.006,S-ketamine,Bipolar depression,clinical_outcome,primary_evidence,,Esketamine use was associated with a significantly lower risk of suicide-related outcomes across both short-term and long-term follow-up intervals up to one year.,Hazard Ratio (HR) for suicide-related events,Adults with bipolar depression,Retrospective cohort study (propensity score-matched),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:ceb718a8d0e8a3419e,not_confirmed_by_this_audit,True,,,,,
finding:627bde2372532a9d5c,10.1016/j.euroneuro.2025.07.006,S-ketamine,Bipolar depression,clinical_outcome,primary_evidence,,Esketamine use did not increase the risk of manic switch and was associated with a significantly lower risk at 180 and 365 days compared to mood stabilizers alone.,Hazard Ratio (HR) for manic switch,Adults with bipolar depression,Retrospective cohort study (propensity score-matched),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:c1e4c1169c44f1fba8,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
