claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,LSD,Alcohol Use Disorder,alcohol intake,outcome_measure,Alcohol Use Disorder (AUD),Alcohol Use Disorder,indication,True,not_applicable,behavioral,Substance Use,positive,alcohol intake,C57BL6/J 8-week-old male mice (AUD model),preclinical,10.1093/ijnp/pyae059.125,,BEHAVIORAL AND ELECTROPHYSIOLOGICAL EFFECTS OF LYSERGIC ACID DIETHYLAMIDE (LSD) IN A MOUSE MODEL OF ALCOHOL USE DISORDER (AUD),*Danilo De Gregorio; Carolina Giulia Ferroni; Noemi Nicosia; Margherita Spadaccini,2025,International Journal of Neuropsychopharmacology,journal-article,not_reported,2025-02,1461-1457,1469-5111,Oxford University Press (OUP),,,,,,,,,en,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",animal model (DID paradigm),not_reported,vehicle,single intraperitoneal injection of LSD,150 mcg/kg,intraperitoneal,single administration,The day after the injections (40 days two-bottle choice test),,,,not_reported,LSD significantly reduced the alcohol intake (p<0.05),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,LSD,Alcohol Use Disorder,locomotor impairments,functional_outcome,Alcohol Use Disorder (AUD),none,none,False,"This is a functional outcome/symptom, not a direct indication.",behavioral,Motor Function,positive,locomotor impairments (latency to fall in rotarod test),C57BL6/J 8-week-old male mice (AUD model),preclinical,10.1093/ijnp/pyae059.125,,BEHAVIORAL AND ELECTROPHYSIOLOGICAL EFFECTS OF LYSERGIC ACID DIETHYLAMIDE (LSD) IN A MOUSE MODEL OF ALCOHOL USE DISORDER (AUD),*Danilo De Gregorio; Carolina Giulia Ferroni; Noemi Nicosia; Margherita Spadaccini,2025,International Journal of Neuropsychopharmacology,journal-article,not_reported,2025-02,1461-1457,1469-5111,Oxford University Press (OUP),,,,,,,,,en,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",animal model (DID paradigm),not_reported,vehicle,single intraperitoneal injection of LSD,150 mcg/kg,intraperitoneal,single administration,Twenty-four hours from the last drinking session,,,,not_reported,LSD ... normalized the locomotor impairments in the AUD mice (p<0.001),not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,LSD,Alcohol Use Disorder,VTA DA deficits,biomarker,Alcohol Use Disorder (AUD),none,none,False,"This is a biomarker/mechanistic finding, not a direct therapeutic indication.",neurophysiological,Neurophysiology,positive,"VTA DA firing rate activity, intra-burst frequency",C57BL6/J 8-week-old male mice (AUD model),preclinical,10.1093/ijnp/pyae059.125,,BEHAVIORAL AND ELECTROPHYSIOLOGICAL EFFECTS OF LYSERGIC ACID DIETHYLAMIDE (LSD) IN A MOUSE MODEL OF ALCOHOL USE DISORDER (AUD),*Danilo De Gregorio; Carolina Giulia Ferroni; Noemi Nicosia; Margherita Spadaccini,2025,International Journal of Neuropsychopharmacology,journal-article,not_reported,2025-02,1461-1457,1469-5111,Oxford University Press (OUP),,,,,,,,,en,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, Results",animal model (DID paradigm),not_reported,vehicle,single intraperitoneal injection of LSD,150 mcg/kg,intraperitoneal,single administration,not_reported,,,,not_reported,LSD partially restores the VTA DA deficits induced by chronic alcohol consumption. ... LSD did not revert the enhanced DA VTA firing rate activity but it increased the intra-burst frequency (p<0.001) which was reduced by the chronic alcohol consumption.,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False
compound_disorder,classic psychedelics,mental disorders and substance use disorders,improvements in self-perceived symptoms of mental disorders and substance use disorders,therapeutic_indication,not_applicable,mental disorders and substance use disorders,indication,True,not_applicable,patient_reported_outcome,mental health,positive,self-perceived symptoms,Norwegian adults who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,cross-sectional internet survey,770,not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,not_reported,,,,not_reported,"For the most part, the psychedelic experience led to improvements in self-perceived symptoms of mental disorders and substance use disorders.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,classic psychedelics,Post-traumatic stress disorder,PTSD (89.7%) reported improvement due to the psychedelic experience,therapeutic_indication,not_applicable,Post-traumatic stress disorder,indication,True,not_applicable,patient_reported_outcome,mental health,positive,self-perceived improvement,Norwegian adults with self-perceived or clinician-assessed PTSD who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,text,C012,cross-sectional internet survey,137 (17.8% of 770 participants reported PTSD),not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,not_reported,,,,not_reported,"The conditions from which the participants reported benefit the most were PTSD (89.7%), depression (89.2%), and suicidality (83.8%). See Figure 3 for details.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,classic psychedelics,Depression,depression (89.2%) reported improvement due to the psychedelic experience,therapeutic_indication,not_applicable,Depression,indication,True,not_applicable,patient_reported_outcome,mental health,positive,self-perceived improvement,Norwegian adults with self-perceived or clinician-assessed depression who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,text,C012,cross-sectional internet survey,382 (49.6% of 770 participants reported depression),not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,not_reported,,,,not_reported,"The conditions from which the participants reported benefit the most were PTSD (89.7%), depression (89.2%), and suicidality (83.8%). See Figure 3 for details.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,classic psychedelics,Suicidality,suicidality (83.8%) reported improvement due to the psychedelic experience,therapeutic_indication,not_applicable,Suicidality,indication,True,not_applicable,patient_reported_outcome,mental health,positive,self-perceived improvement,Norwegian adults with self-perceived or clinician-assessed suicidality who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,text,C012,cross-sectional internet survey,222 (28.8% of 770 participants reported suicidality),not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,not_reported,,,,not_reported,"The conditions from which the participants reported benefit the most were PTSD (89.7%), depression (89.2%), and suicidality (83.8%). See Figure 3 for details.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,classic psychedelics,not_applicable,adverse reactions lasted for 1 year or more,safety_or_adverse_event,not_applicable,none,none,False,"Adverse event, not a therapeutic indication.",safety_outcome,adverse events,negative,duration of adverse reactions,Norwegian adults who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,cross-sectional internet survey,770,not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,1 year or more,,,,persisting adverse reactions,"Although adverse reactions were usually mild and short-lived, 4.2% lasted for 1 year or more.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,classic psychedelics,not_applicable,Persisting flashbacks were present for a year or more,safety_or_adverse_event,not_applicable,none,none,False,"Adverse event, not a therapeutic indication.",safety_outcome,adverse events,negative,duration of flashbacks,Norwegian adults who had a memorable experience after taking a classic psychedelic substance,clinical,10.3389/fpsyt.2023.1287196,,Epidemiology of classic psychedelic substances: results from a Norwegian internet convenience sample,Tor-Morten Kvam; Malin V. Uthaug; Kristoffer A. A. Andersen; Birk Berggrav Refsum; Paula Aarseth Tunstad; Lowan Han Stewart; Henrik Børsting Jacobsen; Cato Grønnerød,2023,Frontiers in Psychiatry,journal-article,not_reported,2023-11-13,1664-0640,,Frontiers Media SA,,"N,N-dimethyltryptamine (DMT) | lysergic acid diethylamide (LSD) | mental disorders | psilocybin | psychedelics | substance use disorders | survey",,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,abstract,C001,cross-sectional internet survey,770,not_reported,classic psychedelic substance (self-administered),not_reported,not_reported,single memorable experience,1 year or more,,,,persisting flashbacks,Persisting flashbacks were present for a year or more among 2.9% of the participants.,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,ketamine,suicidal ideation,suicidal ideation (using MADRS-SI scores),therapeutic_indication,treatment-resistant major depressive disorder,suicidal ideation,indication,True,not_reported,therapeutic_effect,psychiatric symptoms,positive,MADRS-SI scores,patients with treatment-resistant major depressive disorder (MDD),clinical,10.1093/ijnp/pyw043.222,,PS222. Ketamine Exerts a Prolonged Reduction in Suicidal Ideation Independent of its Antidepressant Effects,Jennifer L. Phillips; Sandhaya Norris; Jeanne Talbot; Olabisi Owoeye; Pierre Blier,2016,The International Journal of Neuropsychopharmacology,article,not_reported,2016-05-27,1461-1457,1469-5111,University of Oxford,,Antidepressant | Ketamine | Suicidal ideation | Psychology | Clinical psychology | Medicine | Psychiatry | Suicide prevention | Poison control | Medical emergency | Anxiety,,,,,,,en,,conference_abstract,high,doi,conference_abstract,conference_abstract,primary_evidence,uncertain,supported,0.9,True,full_text_seen,text,C002,randomized controlled trial,19,midazolam (active placebo) in Phase 1,ketamine infusions,not_reported,intravenous,"7 infusions (1 in Phase 1, 6 over two weeks in Phase 2)",pre-and post-treatment,,,,not_reported,"Both groups had significant reductions in MADRS-SI scores (responders -1.9, p<0.001; nonresponders -1.6, p<0.001) and the difference in the magnitude of change in MADRS-SI scores between groups was not statistically significant (p=0.44). Conclusions: Ketamine had a direct effect on lessening suicidal ideation even in patients who failed to show a reduction in depression severity with repeated infusions.",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=True
