# query|compound|entity
psilocybin treatment-resistant depression randomized trial|Psilocybin|Treatment-resistant depression
psilocybin major depressive disorder randomized trial|Psilocybin|Major depressive disorder
ayahuasca major depressive disorder trial|Ayahuasca|Major depressive disorder
ayahuasca social anxiety disorder randomized trial|Ayahuasca|Social anxiety disorder
ayahuasca obsessive-compulsive disorder trial|Ayahuasca|Obsessive-compulsive disorder
ayahuasca generalized anxiety disorder trial|Ayahuasca|Generalized anxiety disorder
ketamine treatment-resistant depression trial|Ketamine|Treatment-resistant depression
ketamine bipolar depression randomized trial|Ketamine|Bipolar depression
esketamine treatment-resistant depression phase 3|S-ketamine|Treatment-resistant depression
ketamine suicidal ideation randomized trial|Ketamine|Suicidal ideation
MDMA post-traumatic stress disorder randomized trial|MDMA|Post-traumatic stress disorder
LSD anxiety life-threatening disease trial|LSD|distress associated with life-threatening disease
LSD major depressive disorder randomized trial|LSD|Major depressive disorder
LSD generalized anxiety disorder randomized trial|LSD|Generalized anxiety disorder
LSD alcohol use disorder trial|LSD|Alcohol use disorder
psilocybin cancer anxiety depression trial|Psilocybin|distress associated with life-threatening disease
psilocybin generalized anxiety disorder trial|Psilocybin|Generalized anxiety disorder
psilocybin bipolar depression trial|Psilocybin|Bipolar depression
mescaline major depressive disorder clinical trial|Mescaline|Major depressive disorder
5-MeO-DMT major depressive disorder clinical trial|5-MeO-DMT|Major depressive disorder
MDMA autism spectrum disorder social anxiety trial|MDMA|Autism spectrum disorder
psilocybin obsessive-compulsive disorder trial|Psilocybin|Obsessive-compulsive disorder
psilocybin anorexia nervosa trial|Psilocybin|Anorexia nervosa
psilocybin eating disorders trial|Psilocybin|Eating disorders
psilocybin bulimia nervosa trial|Psilocybin|Bulimia nervosa
psilocybin binge eating disorder trial|Psilocybin|Binge-eating disorder
psilocybin alcohol use disorder randomized trial|Psilocybin|Alcohol use disorder
psilocybin tobacco use disorder trial|Psilocybin|Tobacco use disorder
ibogaine opioid use disorder trial|Ibogaine|Opioid use disorder
ketamine alcohol use disorder trial|Ketamine|Alcohol use disorder
psilocybin cocaine use disorder trial|Psilocybin|Cocaine use disorder
psilocybin methamphetamine use disorder trial|Psilocybin|Methamphetamine use disorder
psilocybin substance use disorder trial|Psilocybin|Substance use disorder
psilocybin end-of-life anxiety trial|Psilocybin|distress associated with life-threatening disease
LSD cluster headache trial|LSD|Cluster headache
psilocybin cluster headache trial|Psilocybin|Cluster headache
psychedelic headache disorders migraine trial||Headache disorders
psilocybin migraine headache trial|Psilocybin|Migraine
ketamine chronic pain trial|Ketamine|Chronic pain
ketamine fibromyalgia randomized trial|Ketamine|Fibromyalgia
psilocybin fibromyalgia clinical trial|Psilocybin|Fibromyalgia
psychedelic therapy clinical trial psychiatric disorder||
psychedelic-assisted therapy safety efficacy||
psilocybin LSD MDMA ketamine clinical trial||
LSD clinical trial treatment efficacy safety|LSD|
LSD therapy psychiatric neurological disorder outcome|LSD|
LSD randomized placebo open label follow-up|LSD|
Psilocybin clinical trial treatment efficacy safety|Psilocybin|
Psilocybin therapy psychiatric neurological disorder outcome|Psilocybin|
Psilocybin randomized placebo open label follow-up|Psilocybin|
Psilocin clinical trial treatment efficacy safety|Psilocin|
Psilocin therapy psychiatric neurological disorder outcome|Psilocin|
Psilocin randomized placebo open label follow-up|Psilocin|
Mescaline clinical trial treatment efficacy safety|Mescaline|
Mescaline therapy psychiatric neurological disorder outcome|Mescaline|
Mescaline randomized placebo open label follow-up|Mescaline|
DMT clinical trial treatment efficacy safety|DMT|
DMT therapy psychiatric neurological disorder outcome|DMT|
DMT randomized placebo open label follow-up|DMT|
5-MeO-DMT clinical trial treatment efficacy safety|5-MeO-DMT|
5-MeO-DMT therapy psychiatric neurological disorder outcome|5-MeO-DMT|
5-MeO-DMT randomized placebo open label follow-up|5-MeO-DMT|
Bufotenin clinical trial treatment efficacy safety|Bufotenin|
Bufotenin therapy psychiatric neurological disorder outcome|Bufotenin|
Bufotenin randomized placebo open label follow-up|Bufotenin|
Ayahuasca clinical trial treatment efficacy safety|Ayahuasca|
Ayahuasca therapy psychiatric neurological disorder outcome|Ayahuasca|
Ayahuasca randomized placebo open label follow-up|Ayahuasca|
Ibogaine clinical trial treatment efficacy safety|Ibogaine|
Ibogaine therapy psychiatric neurological disorder outcome|Ibogaine|
Ibogaine randomized placebo open label follow-up|Ibogaine|
Noribogaine clinical trial treatment efficacy safety|Noribogaine|
Noribogaine therapy psychiatric neurological disorder outcome|Noribogaine|
Noribogaine randomized placebo open label follow-up|Noribogaine|
MDMA clinical trial treatment efficacy safety|MDMA|
MDMA therapy psychiatric neurological disorder outcome|MDMA|
MDMA randomized placebo open label follow-up|MDMA|
MDA clinical trial treatment efficacy safety|MDA|
MDA therapy psychiatric neurological disorder outcome|MDA|
MDA randomized placebo open label follow-up|MDA|
Ketamine clinical trial treatment efficacy safety|Ketamine|
Ketamine therapy psychiatric neurological disorder outcome|Ketamine|
Ketamine randomized placebo open label follow-up|Ketamine|
S-ketamine clinical trial treatment efficacy safety|S-ketamine|
S-ketamine therapy psychiatric neurological disorder outcome|S-ketamine|
S-ketamine randomized placebo open label follow-up|S-ketamine|
R-ketamine clinical trial treatment efficacy safety|R-ketamine|
R-ketamine therapy psychiatric neurological disorder outcome|R-ketamine|
R-ketamine randomized placebo open label follow-up|R-ketamine|
DOI clinical trial treatment efficacy safety|DOI|
DOI therapy psychiatric neurological disorder outcome|DOI|
DOI randomized placebo open label follow-up|DOI|
DOB clinical trial treatment efficacy safety|DOB|
DOB therapy psychiatric neurological disorder outcome|DOB|
DOB randomized placebo open label follow-up|DOB|
DOM clinical trial treatment efficacy safety|DOM|
DOM therapy psychiatric neurological disorder outcome|DOM|
DOM randomized placebo open label follow-up|DOM|
DOET clinical trial treatment efficacy safety|DOET|
DOET therapy psychiatric neurological disorder outcome|DOET|
DOET randomized placebo open label follow-up|DOET|
2C-B clinical trial treatment efficacy safety|2C-B|
2C-B therapy psychiatric neurological disorder outcome|2C-B|
2C-B randomized placebo open label follow-up|2C-B|
2C-E clinical trial treatment efficacy safety|2C-E|
2C-E therapy psychiatric neurological disorder outcome|2C-E|
2C-E randomized placebo open label follow-up|2C-E|
2C-I clinical trial treatment efficacy safety|2C-I|
2C-I therapy psychiatric neurological disorder outcome|2C-I|
2C-I randomized placebo open label follow-up|2C-I|
2C-T-2 clinical trial treatment efficacy safety|2C-T-2|
2C-T-2 therapy psychiatric neurological disorder outcome|2C-T-2|
2C-T-2 randomized placebo open label follow-up|2C-T-2|
2C-T-7 clinical trial treatment efficacy safety|2C-T-7|
2C-T-7 therapy psychiatric neurological disorder outcome|2C-T-7|
2C-T-7 randomized placebo open label follow-up|2C-T-7|
5-MeO-DiPT clinical trial treatment efficacy safety|5-MeO-DiPT|
5-MeO-DiPT therapy psychiatric neurological disorder outcome|5-MeO-DiPT|
5-MeO-DiPT randomized placebo open label follow-up|5-MeO-DiPT|
DiPT clinical trial treatment efficacy safety|DiPT|
DiPT therapy psychiatric neurological disorder outcome|DiPT|
DiPT randomized placebo open label follow-up|DiPT|
DPT clinical trial treatment efficacy safety|DPT|
DPT therapy psychiatric neurological disorder outcome|DPT|
DPT randomized placebo open label follow-up|DPT|
LSA clinical trial treatment efficacy safety|LSA|
LSA therapy psychiatric neurological disorder outcome|LSA|
LSA randomized placebo open label follow-up|LSA|
AL-LAD clinical trial treatment efficacy safety|AL-LAD|
AL-LAD therapy psychiatric neurological disorder outcome|AL-LAD|
AL-LAD randomized placebo open label follow-up|AL-LAD|
ETH-LAD clinical trial treatment efficacy safety|ETH-LAD|
ETH-LAD therapy psychiatric neurological disorder outcome|ETH-LAD|
ETH-LAD randomized placebo open label follow-up|ETH-LAD|
PRO-LAD clinical trial treatment efficacy safety|PRO-LAD|
PRO-LAD therapy psychiatric neurological disorder outcome|PRO-LAD|
PRO-LAD randomized placebo open label follow-up|PRO-LAD|
1P-LSD clinical trial treatment efficacy safety|1P-LSD|
1P-LSD therapy psychiatric neurological disorder outcome|1P-LSD|
1P-LSD randomized placebo open label follow-up|1P-LSD|
Salvinorin A clinical trial treatment efficacy safety|Salvinorin A|
Salvinorin A therapy psychiatric neurological disorder outcome|Salvinorin A|
Salvinorin A randomized placebo open label follow-up|Salvinorin A|
Lisuride clinical trial treatment efficacy safety|Lisuride|
Lisuride therapy psychiatric neurological disorder outcome|Lisuride|
Lisuride randomized placebo open label follow-up|Lisuride|
Bromo-DragonFLY clinical trial treatment efficacy safety|Bromo-DragonFLY|
Bromo-DragonFLY therapy psychiatric neurological disorder outcome|Bromo-DragonFLY|
Bromo-DragonFLY randomized placebo open label follow-up|Bromo-DragonFLY|
25I-NBOMe clinical trial treatment efficacy safety|25I-NBOMe|
25I-NBOMe therapy psychiatric neurological disorder outcome|25I-NBOMe|
25I-NBOMe randomized placebo open label follow-up|25I-NBOMe|
25B-NBOMe clinical trial treatment efficacy safety|25B-NBOMe|
25B-NBOMe therapy psychiatric neurological disorder outcome|25B-NBOMe|
25B-NBOMe randomized placebo open label follow-up|25B-NBOMe|
25C-NBOMe clinical trial treatment efficacy safety|25C-NBOMe|
25C-NBOMe therapy psychiatric neurological disorder outcome|25C-NBOMe|
25C-NBOMe randomized placebo open label follow-up|25C-NBOMe|
TMA clinical trial treatment efficacy safety|TMA|
TMA therapy psychiatric neurological disorder outcome|TMA|
TMA randomized placebo open label follow-up|TMA|
TMA-2 clinical trial treatment efficacy safety|TMA-2|
TMA-2 therapy psychiatric neurological disorder outcome|TMA-2|
TMA-2 randomized placebo open label follow-up|TMA-2|
psychedelic Treatment-resistant depression clinical trial treatment||Treatment-resistant depression
psilocybin LSD MDMA ketamine Treatment-resistant depression therapy||Treatment-resistant depression
Treatment-resistant depression psychedelic-assisted therapy outcome safety||Treatment-resistant depression
psychedelic Major depressive disorder clinical trial treatment||Major depressive disorder
psilocybin LSD MDMA ketamine Major depressive disorder therapy||Major depressive disorder
Major depressive disorder psychedelic-assisted therapy outcome safety||Major depressive disorder
psychedelic Bipolar depression clinical trial treatment||Bipolar depression
psilocybin LSD MDMA ketamine Bipolar depression therapy||Bipolar depression
Bipolar depression psychedelic-assisted therapy outcome safety||Bipolar depression
psychedelic Persistent depressive disorder clinical trial treatment||Persistent depressive disorder
psilocybin LSD MDMA ketamine Persistent depressive disorder therapy||Persistent depressive disorder
Persistent depressive disorder psychedelic-assisted therapy outcome safety||Persistent depressive disorder
psychedelic Post-traumatic stress disorder clinical trial treatment||Post-traumatic stress disorder
psilocybin LSD MDMA ketamine Post-traumatic stress disorder therapy||Post-traumatic stress disorder
Post-traumatic stress disorder psychedelic-assisted therapy outcome safety||Post-traumatic stress disorder
psychedelic Complex post-traumatic stress disorder clinical trial treatment||Complex post-traumatic stress disorder
psilocybin LSD MDMA ketamine Complex post-traumatic stress disorder therapy||Complex post-traumatic stress disorder
Complex post-traumatic stress disorder psychedelic-assisted therapy outcome safety||Complex post-traumatic stress disorder
psychedelic Alcohol use disorder clinical trial treatment||Alcohol use disorder
psilocybin LSD MDMA ketamine Alcohol use disorder therapy||Alcohol use disorder
Alcohol use disorder psychedelic-assisted therapy outcome safety||Alcohol use disorder
psychedelic Tobacco use disorder clinical trial treatment||Tobacco use disorder
psilocybin LSD MDMA ketamine Tobacco use disorder therapy||Tobacco use disorder
Tobacco use disorder psychedelic-assisted therapy outcome safety||Tobacco use disorder
psychedelic Nicotine dependence clinical trial treatment||Nicotine dependence
psilocybin LSD MDMA ketamine Nicotine dependence therapy||Nicotine dependence
Nicotine dependence psychedelic-assisted therapy outcome safety||Nicotine dependence
psychedelic Opioid use disorder clinical trial treatment||Opioid use disorder
psilocybin LSD MDMA ketamine Opioid use disorder therapy||Opioid use disorder
Opioid use disorder psychedelic-assisted therapy outcome safety||Opioid use disorder
psychedelic Cannabis use disorder clinical trial treatment||Cannabis use disorder
psilocybin LSD MDMA ketamine Cannabis use disorder therapy||Cannabis use disorder
Cannabis use disorder psychedelic-assisted therapy outcome safety||Cannabis use disorder
psychedelic Cocaine use disorder clinical trial treatment||Cocaine use disorder
psilocybin LSD MDMA ketamine Cocaine use disorder therapy||Cocaine use disorder
Cocaine use disorder psychedelic-assisted therapy outcome safety||Cocaine use disorder
psychedelic Methamphetamine use disorder clinical trial treatment||Methamphetamine use disorder
psilocybin LSD MDMA ketamine Methamphetamine use disorder therapy||Methamphetamine use disorder
Methamphetamine use disorder psychedelic-assisted therapy outcome safety||Methamphetamine use disorder
psychedelic Stimulant use disorder clinical trial treatment||Stimulant use disorder
psilocybin LSD MDMA ketamine Stimulant use disorder therapy||Stimulant use disorder
Stimulant use disorder psychedelic-assisted therapy outcome safety||Stimulant use disorder
psychedelic Substance use disorder clinical trial treatment||Substance use disorder
psilocybin LSD MDMA ketamine Substance use disorder therapy||Substance use disorder
Substance use disorder psychedelic-assisted therapy outcome safety||Substance use disorder
psychedelic Generalized anxiety disorder clinical trial treatment||Generalized anxiety disorder
psilocybin LSD MDMA ketamine Generalized anxiety disorder therapy||Generalized anxiety disorder
Generalized anxiety disorder psychedelic-assisted therapy outcome safety||Generalized anxiety disorder
psychedelic Social anxiety disorder clinical trial treatment||Social anxiety disorder
psilocybin LSD MDMA ketamine Social anxiety disorder therapy||Social anxiety disorder
Social anxiety disorder psychedelic-assisted therapy outcome safety||Social anxiety disorder
psychedelic Distress associated with life-threatening disease clinical trial treatment||Distress associated with life-threatening disease
psilocybin LSD MDMA ketamine Distress associated with life-threatening disease therapy||Distress associated with life-threatening disease
Distress associated with life-threatening disease psychedelic-assisted therapy outcome safety||Distress associated with life-threatening disease
psychedelic Obsessive-compulsive disorder clinical trial treatment||Obsessive-compulsive disorder
psilocybin LSD MDMA ketamine Obsessive-compulsive disorder therapy||Obsessive-compulsive disorder
Obsessive-compulsive disorder psychedelic-assisted therapy outcome safety||Obsessive-compulsive disorder
psychedelic Eating disorders clinical trial treatment||Eating disorders
psilocybin LSD MDMA ketamine Eating disorders therapy||Eating disorders
Eating disorders psychedelic-assisted therapy outcome safety||Eating disorders
psychedelic Anorexia nervosa clinical trial treatment||Anorexia nervosa
psilocybin LSD MDMA ketamine Anorexia nervosa therapy||Anorexia nervosa
Anorexia nervosa psychedelic-assisted therapy outcome safety||Anorexia nervosa
psychedelic Bulimia nervosa clinical trial treatment||Bulimia nervosa
psilocybin LSD MDMA ketamine Bulimia nervosa therapy||Bulimia nervosa
Bulimia nervosa psychedelic-assisted therapy outcome safety||Bulimia nervosa
psychedelic Binge-eating disorder clinical trial treatment||Binge-eating disorder
psilocybin LSD MDMA ketamine Binge-eating disorder therapy||Binge-eating disorder
Binge-eating disorder psychedelic-assisted therapy outcome safety||Binge-eating disorder
psychedelic Autism spectrum disorder clinical trial treatment||Autism spectrum disorder
psilocybin LSD MDMA ketamine Autism spectrum disorder therapy||Autism spectrum disorder
Autism spectrum disorder psychedelic-assisted therapy outcome safety||Autism spectrum disorder
psychedelic Demoralization clinical trial treatment||Demoralization
psilocybin LSD MDMA ketamine Demoralization therapy||Demoralization
Demoralization psychedelic-assisted therapy outcome safety||Demoralization
psychedelic Suicidal ideation clinical trial treatment||Suicidal ideation
psilocybin LSD MDMA ketamine Suicidal ideation therapy||Suicidal ideation
Suicidal ideation psychedelic-assisted therapy outcome safety||Suicidal ideation
psychedelic Cluster headache clinical trial treatment||Cluster headache
psilocybin LSD MDMA ketamine Cluster headache therapy||Cluster headache
Cluster headache psychedelic-assisted therapy outcome safety||Cluster headache
psychedelic Headache disorders clinical trial treatment||Headache disorders
psilocybin LSD MDMA ketamine Headache disorders therapy||Headache disorders
Headache disorders psychedelic-assisted therapy outcome safety||Headache disorders
psychedelic Migraine clinical trial treatment||Migraine
psilocybin LSD MDMA ketamine Migraine therapy||Migraine
Migraine psychedelic-assisted therapy outcome safety||Migraine
psychedelic Chronic pain clinical trial treatment||Chronic pain
psilocybin LSD MDMA ketamine Chronic pain therapy||Chronic pain
Chronic pain psychedelic-assisted therapy outcome safety||Chronic pain
psychedelic Fibromyalgia clinical trial treatment||Fibromyalgia
psilocybin LSD MDMA ketamine Fibromyalgia therapy||Fibromyalgia
Fibromyalgia psychedelic-assisted therapy outcome safety||Fibromyalgia
LSD Treatment-resistant depression clinical trial|LSD|Treatment-resistant depression
LSD Treatment-resistant depression randomized placebo|LSD|Treatment-resistant depression
LSD Treatment-resistant depression treatment outcome|LSD|Treatment-resistant depression
LSD Major depressive disorder clinical trial|LSD|Major depressive disorder
LSD Major depressive disorder randomized placebo|LSD|Major depressive disorder
LSD Major depressive disorder treatment outcome|LSD|Major depressive disorder
LSD Bipolar depression clinical trial|LSD|Bipolar depression
LSD Bipolar depression randomized placebo|LSD|Bipolar depression
LSD Bipolar depression treatment outcome|LSD|Bipolar depression
LSD Persistent depressive disorder clinical trial|LSD|Persistent depressive disorder
LSD Persistent depressive disorder randomized placebo|LSD|Persistent depressive disorder
LSD Persistent depressive disorder treatment outcome|LSD|Persistent depressive disorder
LSD Post-traumatic stress disorder clinical trial|LSD|Post-traumatic stress disorder
LSD Post-traumatic stress disorder randomized placebo|LSD|Post-traumatic stress disorder
LSD Post-traumatic stress disorder treatment outcome|LSD|Post-traumatic stress disorder
LSD Complex post-traumatic stress disorder clinical trial|LSD|Complex post-traumatic stress disorder
LSD Complex post-traumatic stress disorder randomized placebo|LSD|Complex post-traumatic stress disorder
LSD Complex post-traumatic stress disorder treatment outcome|LSD|Complex post-traumatic stress disorder
LSD Alcohol use disorder clinical trial|LSD|Alcohol use disorder
LSD Alcohol use disorder randomized placebo|LSD|Alcohol use disorder
LSD Alcohol use disorder treatment outcome|LSD|Alcohol use disorder
LSD Tobacco use disorder clinical trial|LSD|Tobacco use disorder
LSD Tobacco use disorder randomized placebo|LSD|Tobacco use disorder
LSD Tobacco use disorder treatment outcome|LSD|Tobacco use disorder
LSD Nicotine dependence clinical trial|LSD|Nicotine dependence
LSD Nicotine dependence randomized placebo|LSD|Nicotine dependence
LSD Nicotine dependence treatment outcome|LSD|Nicotine dependence
LSD Opioid use disorder clinical trial|LSD|Opioid use disorder
LSD Opioid use disorder randomized placebo|LSD|Opioid use disorder
LSD Opioid use disorder treatment outcome|LSD|Opioid use disorder
LSD Cannabis use disorder clinical trial|LSD|Cannabis use disorder
LSD Cannabis use disorder randomized placebo|LSD|Cannabis use disorder
LSD Cannabis use disorder treatment outcome|LSD|Cannabis use disorder
LSD Cocaine use disorder clinical trial|LSD|Cocaine use disorder
LSD Cocaine use disorder randomized placebo|LSD|Cocaine use disorder
LSD Cocaine use disorder treatment outcome|LSD|Cocaine use disorder
LSD Methamphetamine use disorder clinical trial|LSD|Methamphetamine use disorder
LSD Methamphetamine use disorder randomized placebo|LSD|Methamphetamine use disorder
LSD Methamphetamine use disorder treatment outcome|LSD|Methamphetamine use disorder
LSD Stimulant use disorder clinical trial|LSD|Stimulant use disorder
LSD Stimulant use disorder randomized placebo|LSD|Stimulant use disorder
LSD Stimulant use disorder treatment outcome|LSD|Stimulant use disorder
LSD Substance use disorder clinical trial|LSD|Substance use disorder
LSD Substance use disorder randomized placebo|LSD|Substance use disorder
LSD Substance use disorder treatment outcome|LSD|Substance use disorder
LSD Generalized anxiety disorder clinical trial|LSD|Generalized anxiety disorder
LSD Generalized anxiety disorder randomized placebo|LSD|Generalized anxiety disorder
LSD Generalized anxiety disorder treatment outcome|LSD|Generalized anxiety disorder
LSD Social anxiety disorder clinical trial|LSD|Social anxiety disorder
LSD Social anxiety disorder randomized placebo|LSD|Social anxiety disorder
LSD Social anxiety disorder treatment outcome|LSD|Social anxiety disorder
LSD Distress associated with life-threatening disease clinical trial|LSD|Distress associated with life-threatening disease
LSD Distress associated with life-threatening disease randomized placebo|LSD|Distress associated with life-threatening disease
LSD Distress associated with life-threatening disease treatment outcome|LSD|Distress associated with life-threatening disease
LSD Obsessive-compulsive disorder clinical trial|LSD|Obsessive-compulsive disorder
LSD Obsessive-compulsive disorder randomized placebo|LSD|Obsessive-compulsive disorder
LSD Obsessive-compulsive disorder treatment outcome|LSD|Obsessive-compulsive disorder
LSD Eating disorders clinical trial|LSD|Eating disorders
LSD Eating disorders randomized placebo|LSD|Eating disorders
LSD Eating disorders treatment outcome|LSD|Eating disorders
LSD Anorexia nervosa clinical trial|LSD|Anorexia nervosa
LSD Anorexia nervosa randomized placebo|LSD|Anorexia nervosa
LSD Anorexia nervosa treatment outcome|LSD|Anorexia nervosa
LSD Bulimia nervosa clinical trial|LSD|Bulimia nervosa
LSD Bulimia nervosa randomized placebo|LSD|Bulimia nervosa
LSD Bulimia nervosa treatment outcome|LSD|Bulimia nervosa
LSD Binge-eating disorder clinical trial|LSD|Binge-eating disorder
LSD Binge-eating disorder randomized placebo|LSD|Binge-eating disorder
LSD Binge-eating disorder treatment outcome|LSD|Binge-eating disorder
LSD Autism spectrum disorder clinical trial|LSD|Autism spectrum disorder
LSD Autism spectrum disorder randomized placebo|LSD|Autism spectrum disorder
LSD Autism spectrum disorder treatment outcome|LSD|Autism spectrum disorder
LSD Demoralization clinical trial|LSD|Demoralization
LSD Demoralization randomized placebo|LSD|Demoralization
LSD Demoralization treatment outcome|LSD|Demoralization
LSD Suicidal ideation clinical trial|LSD|Suicidal ideation
LSD Suicidal ideation randomized placebo|LSD|Suicidal ideation
LSD Suicidal ideation treatment outcome|LSD|Suicidal ideation
LSD Cluster headache clinical trial|LSD|Cluster headache
LSD Cluster headache randomized placebo|LSD|Cluster headache
LSD Cluster headache treatment outcome|LSD|Cluster headache
LSD Headache disorders clinical trial|LSD|Headache disorders
LSD Headache disorders randomized placebo|LSD|Headache disorders
LSD Headache disorders treatment outcome|LSD|Headache disorders
LSD Migraine clinical trial|LSD|Migraine
LSD Migraine randomized placebo|LSD|Migraine
LSD Migraine treatment outcome|LSD|Migraine
LSD Chronic pain clinical trial|LSD|Chronic pain
LSD Chronic pain randomized placebo|LSD|Chronic pain
LSD Chronic pain treatment outcome|LSD|Chronic pain
LSD Fibromyalgia clinical trial|LSD|Fibromyalgia
LSD Fibromyalgia randomized placebo|LSD|Fibromyalgia
LSD Fibromyalgia treatment outcome|LSD|Fibromyalgia
Psilocybin Treatment-resistant depression clinical trial|Psilocybin|Treatment-resistant depression
Psilocybin Treatment-resistant depression randomized placebo|Psilocybin|Treatment-resistant depression
Psilocybin Treatment-resistant depression treatment outcome|Psilocybin|Treatment-resistant depression
Psilocybin Major depressive disorder clinical trial|Psilocybin|Major depressive disorder
Psilocybin Major depressive disorder randomized placebo|Psilocybin|Major depressive disorder
Psilocybin Major depressive disorder treatment outcome|Psilocybin|Major depressive disorder
Psilocybin Bipolar depression clinical trial|Psilocybin|Bipolar depression
Psilocybin Bipolar depression randomized placebo|Psilocybin|Bipolar depression
Psilocybin Bipolar depression treatment outcome|Psilocybin|Bipolar depression
