abstract,action_reason,authors,best_pdf_url,contexts,last_checked_utc,library_status,metadata_lookup_error,open_access_is_oa,open_access_status,open_access_url,openalex_id,pdf_download_status,pdf_local_path,pdf_sha256,pdf_size_bytes,study_doi,study_title,study_year
"Among the methods valuable for assessing spatial learning and memory impairments in rodents, the Barnes maze (BM) task deserves special attention. It is based on the assumption that the animal placed into the aversive environment should learn and remember the location of an escape box located below the surface of the platform. Different phases of the task allow to measure spatial learning, memory retrieval, and cognitive flexibility. Herein, we summarize current knowledge about the BM procedure, its variations and critical parameters measured in the task. We highlight confounding factors which should be taken into account when conducting BM task, discussing briefly its advantages and disadvantages. We then propose an extended version of the BM protocol which allows to measure different aspects of spatial learning and memory in rodents. We believe that this review will help to standardize the BM methodology across the laboratories and eventually make the results comparable.",triage_excluded_irrelevant,Kinga Gaweł; Ewa Gibuła‐Tarłowska; Marta Marszałek‐Grabska; Joanna Filarowska; Jolanta H. Kotlińska,https://link.springer.com/content/pdf/10.1007/s00210-018-1589-y.pdf,"[{""compound"": ""MDMA"", ""entity"": ""Post-traumatic stress disorder"", ""study_title"": ""Assessment of spatial learning and memory in the Barnes maze task in rodents—methodological consideration"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00210-018-1589-y.pdf,https://openalex.org/W2901322815,pruned_irrelevant,,,,10.1007/s00210-018-1589-y,Assessment of spatial learning and memory in the Barnes maze task in rodents—methodological consideration,2018
"The present data indicate that ayahuasca enhances creative divergent thinking. They suggest that ayahuasca increases psychological flexibility, which may facilitate psychotherapeutic interventions and support clinical trial initiatives.",triage_excluded_irrelevant,Kim P. C. Kuypers; Jordi Riba; Mario de la Fuente Revenga; Steven A. Barker; Eef L. Theunissen; Johannes G. Ramaekers,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4377-8.pdf,"[{""compound"": ""MDMA"", ""entity"": ""Post-traumatic stress disorder"", ""study_title"": ""Ayahuasca enhances creative divergent thinking while decreasing conventional convergent thinking"", ""study_year"": ""2016""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4377-8.pdf,https://openalex.org/W2492489237,pruned_irrelevant,,,,10.1007/s00213-016-4377-8,Ayahuasca enhances creative divergent thinking while decreasing conventional convergent thinking,2016
"Mystical-type experiences were infrequent after LSD, possibly because of the set and setting used in the present study. LSD may produce greater or different alterations of consciousness at 200 μg (i.e., a dose that is currently used in psychotherapy in Switzerland) compared with 100 μg (i.e., a dose used in imaging studies). Ego dissolution may reflect plasma levels of LSD, whereas more robustly induced effects of LSD may not result in such associations.",triage_excluded_irrelevant,Matthias E. Liechti; Patrick C. Dolder; Yasmin Schmid,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4453-0.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""Alterations of consciousness and mystical-type experiences after acute LSD in humans"", ""study_year"": ""2016""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4453-0.pdf,https://openalex.org/W2528752100,pruned_irrelevant,,,,10.1007/s00213-016-4453-0,Alterations of consciousness and mystical-type experiences after acute LSD in humans,2016
"MDMA induced subjective, emotional, sexual, and endocrine effects that were clearly distinct from those of methylphenidate and modafinil at the doses used.",triage_excluded_irrelevant,Patrick C. Dolder; Felix Müller; Yasmin Schmid; Stefan Borgwardt; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4650-5.pdf,"[{""compound"": ""MDMA"", ""entity"": ""Post-traumatic stress disorder"", ""study_title"": ""Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects"", ""study_year"": ""2017""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4650-5.pdf,https://openalex.org/W2620385377,pruned_irrelevant,,,,10.1007/s00213-017-4650-5,"Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects",2017
Registration identification number: NCT01878942.,triage_excluded_irrelevant,Yasmin Schmid; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4733-3.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Alcohol use disorder"", ""study_title"": ""Long-lasting subjective effects of LSD in normal subjects"", ""study_year"": ""2017""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4733-3.pdf,https://openalex.org/W2756069429,pruned_irrelevant,,,,10.1007/s00213-017-4733-3,Long-lasting subjective effects of LSD in normal subjects,2017
,triage_excluded_irrelevant,Mendel Kaelen; Bruna Giribaldi; Jordan Raine; Lisa Evans; Christopher Timmerman; Natalie Rodriguez; Leor Roseman; Amanda Feilding; David Nutt; Robin Carhart‐Harris,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4820-5.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""The hidden therapist: evidence for a central role of music in psychedelic therapy"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4820-5.pdf,https://openalex.org/W2784069100,pruned_irrelevant,,,,10.1007/s00213-017-4820-5,The hidden therapist: evidence for a central role of music in psychedelic therapy,2018
"While this study provides quantitative support for the cognitive-enhancing properties of microdosing psychedelics, future research has to confirm these preliminary findings in more rigorous placebo-controlled study designs. Based on these preliminary results, we speculate that psychedelics might affect cognitive metacontrol policies by optimizing the balance between cognitive persistence and flexibility. We hope this study will motivate future microdosing studies with more controlled designs to test this hypothesis.",triage_excluded_irrelevant,Luisa Prochazkova; Dominique P. Lippelt; Lorenza S. Colzato; Martin Kuchař; Zsuzsika Sjoerds; Bernhard Hommel,https://link.springer.com/content/pdf/10.1007/s00213-018-5049-7.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-018-5049-7.pdf,https://openalex.org/W2951080359,pruned_irrelevant,,,,10.1007/s00213-018-5049-7,Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting,2018
A single inhalation of vapor from dried toad secretion containing 5-MeO-DMT produces sub-acute and long-term changes in affect and cognition in volunteers. These results warrant exploratory research into therapeutic applications of 5-MeO-DMT.,triage_excluded_irrelevant,Malin V. Uthaug; Rafael Lancelotta; Kim van Oorsouw; Kim P. C. Kuypers; Natasha L. Mason; Jakub Rak; Anna Šuláková; Radek Jurok; Michal Maryška; Martin Kuchař,https://link.springer.com/content/pdf/10.1007/s00213-019-05236-w.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms"", ""study_year"": ""2019""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-019-05236-w.pdf,https://openalex.org/W2938570586,pruned_irrelevant,,,,10.1007/s00213-019-05236-w,"A single inhalation of vapor from dried toad secretion containing 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT) in a naturalistic setting is related to sustained enhancement of satisfaction with life, mindfulness-related capacities, and a decrement of psychopathological symptoms",2019
,triage_excluded_irrelevant,Malin V. Uthaug; Rafael Lancelotta; Attila Szabó; Alan K. Davis; Jordi Riba; Johannes G. Ramaekers,https://link.springer.com/content/pdf/10.1007/s00213-019-05414-w.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Prospective examination of synthetic 5-methoxy-N,N-dimethyltryptamine inhalation: effects on salivary IL-6, cortisol levels, affect, and non-judgment"", ""study_year"": ""2019""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-019-05414-w.pdf,https://openalex.org/W2996702784,pruned_irrelevant,,,,10.1007/s00213-019-05414-w,"Prospective examination of synthetic 5-methoxy-N,N-dimethyltryptamine inhalation: effects on salivary IL-6, cortisol levels, affect, and non-judgment",2019
,triage_excluded_irrelevant,Neiloufar Family; Émeline L. Maillet; Luke T. J. Williams; Erwin Krediet; Robin Carhart‐Harris; Tom A. Williams; Charles D. Nichols; Daniel J. Goble; Shlomi Raz,https://link.springer.com/content/pdf/10.1007/s00213-019-05417-7.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Safety, tolerability, pharmacokinetics, and pharmacodynamics of low dose lysergic acid diethylamide (LSD) in healthy older volunteers"", ""study_year"": ""2019""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-019-05417-7.pdf,https://openalex.org/W2996366481,pruned_irrelevant,,,,10.1007/s00213-019-05417-7,"Safety, tolerability, pharmacokinetics, and pharmacodynamics of low dose lysergic acid diethylamide (LSD) in healthy older volunteers",2019
