normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,language,mesh_terms,keywords,trial_registry_ids,funders,grant_ids,publication_relations,has_correction,related_dois,semantic_scholar_id
normalized,compound and graph entity matched local registry,Ibogaine,,Substance use disorder,Ibogaine,Substance use disorder,ibogaine,,substance use disorders,substance use disorders,substance use disorders,therapeutic_indication,Substance use disorder,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,Our study aims to evaluate the efficacy and safety of ibogaine in the treatment of substance use disorders and to determine its therapeutic potential.,secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,label,fuzzy_high_confidence,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Ibogaine,,Opioid use disorder,Ibogaine,Opioid use disorder,ibogaine,,opioid dependence,opioid dependence,opioid dependence,therapeutic_indication,Opioid use disorder,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Ibogaine,,Cocaine use disorder,Ibogaine,Cocaine use disorder,ibogaine,,cocaine dependence,cocaine dependence,cocaine dependence,therapeutic_indication,Cocaine use disorder,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Ibogaine,,Alcohol use disorder,Ibogaine,Alcohol use disorder,ibogaine,,alcohol dependence,alcohol dependence,alcohol dependence,therapeutic_indication,Alcohol use disorder,indication,True,10.12775/qs.2026.54.69942,The Efficacy and Safety of Ibogaine Treatment for Substance Use Disorders - A Narrative Review,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Milena Majchrzyk; Weronika Walendziak; Magdalena Ostaszewska; Damian Zienkiewicz; Gabriela Makulec; Karolina Domosud; Natalia Mordal; Kacper Ściebura; Wiktoria Wiśniewska; Anna Malczyk,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"review papers on the use of ibogaine in the context of opioid, cocaine, and alcohol dependence were used.",secondary_summary,full_text_seen,abstract,C001,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Quality in Sport,journal-article,2026-04-02,2450-3118,2450-3118,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Depression,Ketamine,Depression,ketamine,,depressive symptoms,depressive symptoms,depressive symptoms,therapeutic_indication,Depression,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,label,alias,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},en,,,,,,,,,
normalized,compound and graph entity matched local registry,S-ketamine,,Depression,S-ketamine,Depression,esketamine,,depressive symptoms,depressive symptoms,depressive symptoms,therapeutic_indication,Depression,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"The most frequently studied treatments (43 studies) are glutamatergic agents, particularly intravenous ketamine and intranasal esketamine, which have consistently demonstrated rapid and clinically meaningful reductions in depressive symptoms.",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,alias,alias,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},en,,,,,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Treatment-resistant depression,Psilocybin,Treatment-resistant depression,psilocybin,,Treatment-Resistant Depression,Treatment-Resistant Depression,Treatment-Resistant Depression,therapeutic_indication,Treatment-resistant depression,indication,True,10.53941/cna.2025.100006,"Novel perspectives for glutamatergic strategies, psychedelics and antipsychotic augmentation in Treatment Resistant Depression: A narrative review",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefania Chiappini; Clara Cavallotto; Andrea Miuli; Giacomo d'Andrea; Alessio Mosca; Carlotta Marrangone; Rita Allegretti; Serena Panichella; Antonio D'Attilio; Giovanna Mammarella,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"We conducted a narrative review using PubMed and Scopus with the query ""(treatment resistant depression OR TRD) AND (glutamatergic OR glutamate OR psychedelic OR psilocybin OR antipsychotic augmentation) NOT (review OR animal OR mouse).""",secondary_summary,full_text_seen,abstract,C001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Clinical Neuropsychopharmacology and Addiction,journal-article,2025-09-25,3083-5070,3083-5070,Scilight Press Pty Ltd,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},en,,,,,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Substance use disorder,Psilocybin,Substance use disorder,psilocybin,,addiction,addiction,addiction,therapeutic_indication,Substance use disorder,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Addiction,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Anxiety,Psilocybin,Anxiety,psilocybin,,anxiety,anxiety,anxiety,therapeutic_indication,Anxiety,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Anxiety,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Depression,Psilocybin,Depression,psilocybin,,depression,depression,depression,therapeutic_indication,Depression,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Depression,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,,,,,
