seed_id,dataset,provider_profile,module_id,module_type,query,compound,entity,compound_terms,entity_terms,evidence_terms,recommended_max_results_per_seed
mechanistic_boolean_openalex_001,mechanistic,openalex,serotonin_receptors,primary_boolean,"(psychedelic OR psychedelics OR ""serotonergic psychedelic"" OR hallucinogen OR psychoplastogen OR LSD OR ""lysergic acid diethylamide"" OR psilocybin OR psilocin OR DMT OR ""5-MeO-DMT"" OR mescaline OR DOI OR ""2C-B"" OR NBOMe) AND (""5-HT2A"" OR HTR2A OR ""serotonin 2A receptor"" OR ""5-HT2B"" OR HTR2B OR ""5-HT2C"" OR HTR2C OR ""5-HT1A"" OR HTR1A OR ""serotonin receptor"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,psychedelic | psychedelics | serotonergic psychedelic | hallucinogen | psychoplastogen | LSD | lysergic acid diethylamide | psilocybin | psilocin | DMT | 5-MeO-DMT | mescaline | DOI | 2C-B | NBOMe,5-HT2A | HTR2A | serotonin 2A receptor | 5-HT2B | HTR2B | 5-HT2C | HTR2C | 5-HT1A | HTR1A | serotonin receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,500
mechanistic_boolean_openalex_002,mechanistic,openalex,monoamine_transporters,primary_boolean,"(MDMA OR MDA OR ibogaine OR noribogaine OR amphetamine OR psychedelic) AND (SERT OR SLC6A4 OR ""serotonin transporter"" OR DAT OR SLC6A3 OR ""dopamine transporter"" OR NET OR SLC6A2 OR ""norepinephrine transporter"" OR VMAT2) AND (binding OR affinity OR uptake OR release OR transporter OR IC50 OR EC50 OR Ki)",,,MDMA | MDA | ibogaine | noribogaine | amphetamine | psychedelic,SERT | SLC6A4 | serotonin transporter | DAT | SLC6A3 | dopamine transporter | NET | SLC6A2 | norepinephrine transporter | VMAT2,binding | affinity | uptake | release | transporter | IC50 | EC50 | Ki,500
mechanistic_boolean_openalex_003,mechanistic,openalex,glutamate_nmda,primary_boolean,"(ketamine OR esketamine OR arketamine OR ""R-ketamine"" OR ""S-ketamine"" OR psychedelic) AND (""NMDA receptor"" OR NMDAR OR ""AMPA receptor"" OR mGluR2 OR GRM2 OR ""glutamate receptor"") AND (binding OR affinity OR antagonist OR agonist OR signaling OR ""functional assay"" OR neuroplasticity)",,,ketamine | esketamine | arketamine | R-ketamine | S-ketamine | psychedelic,NMDA receptor | NMDAR | AMPA receptor | mGluR2 | GRM2 | glutamate receptor,binding | affinity | antagonist | agonist | signaling | functional assay | neuroplasticity,500
mechanistic_boolean_openalex_004,mechanistic,openalex,opioid_sigma_taar,primary_boolean,"(""salvinorin A"" OR ibogaine OR noribogaine OR DMT OR ""5-MeO-DMT"" OR psychedelic) AND (""kappa opioid receptor"" OR KOR OR OPRK1 OR ""mu opioid receptor"" OR ""sigma-1 receptor"" OR SIGMAR1 OR TAAR1 OR ""trace amine-associated receptor 1"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,salvinorin A | ibogaine | noribogaine | DMT | 5-MeO-DMT | psychedelic,kappa opioid receptor | KOR | OPRK1 | mu opioid receptor | sigma-1 receptor | SIGMAR1 | TAAR1 | trace amine-associated receptor 1,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,500
mechanistic_boolean_openalex_005,mechanistic,openalex,plasticity_trkb_bdnf,primary_boolean,"(psychedelic OR psychoplastogen OR psilocybin OR LSD OR DMT OR ketamine) AND (TrkB OR NTRK2 OR BDNF OR neuroplasticity OR ""dendritic spine"" OR ""cortical plasticity"") AND (signaling OR binding OR phosphorylation OR plasticity OR neuritogenesis OR dendritic OR synaptic)",,,psychedelic | psychoplastogen | psilocybin | LSD | DMT | ketamine,TrkB | NTRK2 | BDNF | neuroplasticity | dendritic spine | cortical plasticity,signaling | binding | phosphorylation | plasticity | neuritogenesis | dendritic | synaptic,500
mechanistic_boolean_openalex_006,mechanistic,openalex,lsd_5ht2a,dense_topic,"(LSD OR ""lysergic acid diethylamide"") AND (""5-HT2A"" OR HTR2A OR ""serotonin 2A receptor"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling OR ""beta arrestin"" OR ""G protein"")",,,LSD | lysergic acid diethylamide,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling | beta arrestin | G protein,1000
mechanistic_boolean_openalex_007,mechanistic,openalex,psilocin_5ht2a,dense_topic,"(psilocin OR psilocybin) AND (""5-HT2A"" OR HTR2A OR ""serotonin 2A receptor"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,psilocin | psilocybin,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
mechanistic_boolean_openalex_008,mechanistic,openalex,mdma_transporters,dense_topic,"(MDMA OR ""3,4-methylenedioxymethamphetamine"" OR MDA) AND (SERT OR DAT OR NET OR SLC6A4 OR SLC6A3 OR SLC6A2 OR ""serotonin transporter"" OR ""dopamine transporter"" OR ""norepinephrine transporter"") AND (transporter OR uptake OR release OR binding OR affinity OR IC50 OR EC50)",,,"MDMA | 3,4-methylenedioxymethamphetamine | MDA",SERT | DAT | NET | SLC6A4 | SLC6A3 | SLC6A2 | serotonin transporter | dopamine transporter | norepinephrine transporter,transporter | uptake | release | binding | affinity | IC50 | EC50,1000
mechanistic_boolean_openalex_009,mechanistic,openalex,ketamine_nmda,dense_topic,"(ketamine OR esketamine OR arketamine OR ""S-ketamine"" OR ""R-ketamine"") AND (""NMDA receptor"" OR NMDAR OR ""glutamate receptor"") AND (binding OR affinity OR antagonist OR ""channel blocker"" OR ""functional assay"")",,,ketamine | esketamine | arketamine | S-ketamine | R-ketamine,NMDA receptor | NMDAR | glutamate receptor,binding | affinity | antagonist | channel blocker | functional assay,1000
mechanistic_boolean_openalex_010,mechanistic,openalex,salvinorin_kor,dense_topic,"""salvinorin A"" AND (""kappa opioid receptor"" OR KOR OR OPRK1) AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,salvinorin A,kappa opioid receptor | KOR | OPRK1,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
